,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads
0,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2023-09-21 17:54:19,2023-09-20 21:35:01,2005.0,72.0,1922.0,115.0,1795.0,82.0,2127.0,11253.0,2023-09-20 21:36:02,5.10.6,100.0,Material Design for React Native (Android & iOS).,144854.0,144854.0,308.0,https://www.npmjs.com/package/react-native-paper,527720.0,527720.0,42,True,1,,
1,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2023-09-20 15:34:21,2023-09-18 12:38:46,2661.0,28.0,4739.0,322.0,1724.0,648.0,8547.0,22735.0,2023-06-22 13:20:45,react-native-tab-view@3.5.2,100.0,Routing and navigation for your React Native apps.,764479.0,764479.0,261.0,https://www.npmjs.com/package/@react-navigation/native,2828052.0,2828052.0,41,True,1,-1.0,
2,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2023-09-19 19:55:17,2023-04-23 13:51:31,1474.0,,4570.0,218.0,1158.0,71.0,3442.0,14334.0,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,160639.0,160639.0,478.0,https://www.npmjs.com/package/react-native-maps,747265.0,747265.0,41,True,1,,
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2023-09-21 17:37:51,2023-09-21 16:20:14,19313.0,851.0,4140.0,282.0,11994.0,340.0,11666.0,23456.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",753843.0,753843.0,1184.0,,,,40,True,1,-1.0,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2023-09-19 16:40:15,2023-07-20 08:34:21,604.0,19.0,2052.0,209.0,362.0,153.0,1034.0,16909.0,2023-07-17 13:34:46,10.0.0,65.0,Customizable Icons for React Native with support for image source and full styling.,504399.0,504399.0,135.0,https://www.npmjs.com/package/react-native-vector-icons,1462018.0,1462018.0,40,True,1,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2023-09-16 15:48:39,2023-09-16 15:16:44,760.0,42.0,1690.0,234.0,339.0,26.0,726.0,16120.0,2023-09-16 15:17:47,6.3.1,31.0,Lottie wrapper for React Native.,105197.0,105197.0,137.0,https://www.npmjs.com/package/lottie-react-native,1045705.0,1045705.0,39,True,1,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2023-09-21 13:42:39,2023-09-21 13:42:39,1395.0,4.0,3250.0,193.0,865.0,127.0,1449.0,12685.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,24605.0,24605.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,120379.0,120379.0,39,True,1,,12.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,,2015-07-02 22:36:50,2023-09-10 14:07:26,2023-06-13 00:08:24,8433.0,,491.0,129.0,779.0,274.0,1491.0,10513.0,2022-08-04 17:11:19,36.6.0,95.0,A collection of composable React components for building interactive data visualizations.,21232.0,21232.0,222.0,https://www.npmjs.com/package/victory-native,245043.0,245043.0,35,True,1,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2023-09-21 14:58:23,2023-09-20 06:48:23,3941.0,77.0,653.0,338.0,2021.0,52.0,540.0,5680.0,2023-08-30 09:00:20,7.8.0,100.0,UI Components Library for React Native.,3291.0,3291.0,139.0,https://www.npmjs.com/package/react-native-ui-lib,158328.0,158328.0,35,True,2,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2023-09-09 10:05:52,2023-09-09 10:05:52,2405.0,6.0,4467.0,372.0,1624.0,75.0,1992.0,24001.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,4.0,4.0,404.0,https://www.npmjs.com/package/react-native-elements,432160.0,432160.0,33,True,2,-1.0,
