,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,license,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-02-01 14:36:06,2024-02-01 12:00:25,2728.0,46.0,4791.0,323.0,1783.0,681.0,8611.0,23074.0,2023-11-03 14:58:32,@react-navigation/native-stack@6.9.17,100.0,Routing and navigation for your React Native apps.,857715.0,857715.0,268.0,https://www.npmjs.com/package/@react-navigation/native,3462648.0,3462648.0,43,True,1,1.0,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-02-01 09:03:29,2024-01-21 17:20:26,1509.0,26.0,4585.0,218.0,1184.0,57.0,3514.0,14583.0,2024-01-21 11:30:17,1.10.0,100.0,React Native Mapview component for iOS + Android.,168777.0,168777.0,487.0,https://www.npmjs.com/package/react-native-maps,979994.0,979994.0,42,True,1,,MIT,
2,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-01-31 07:10:01,2024-01-24 19:35:12,2079.0,55.0,1978.0,118.0,1857.0,126.0,2224.0,11889.0,2024-01-24 19:36:21,5.12.3,100.0,Material Design for React Native (Android & iOS).,176191.0,176191.0,325.0,https://www.npmjs.com/package/react-native-paper,782878.0,782878.0,42,True,1,,MIT,
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-02-01 17:53:36,2024-02-01 16:40:13,20710.0,1028.0,4375.0,283.0,13348.0,390.0,12488.0,26546.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",840302.0,840302.0,1264.0,,,,41,True,1,,MIT,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-01-19 11:08:58,2023-12-14 08:26:32,618.0,8.0,2057.0,206.0,383.0,151.0,1056.0,17094.0,2023-12-14 08:27:16,10.0.3,68.0,Customizable Icons for React Native with support for image source and full styling.,555079.0,555079.0,144.0,https://www.npmjs.com/package/react-native-vector-icons,1759279.0,1759279.0,39,True,1,,MIT,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-01-31 09:25:37,2024-01-28 12:06:36,790.0,24.0,1707.0,234.0,367.0,24.0,767.0,16381.0,2024-01-28 12:10:56,6.6.0,36.0,Lottie wrapper for React Native.,110116.0,110116.0,142.0,https://www.npmjs.com/package/lottie-react-native,1303889.0,1303889.0,39,True,1,,Apache-2.0,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-02-01 15:04:12,2023-10-11 12:47:32,1397.0,,3267.0,194.0,871.0,144.0,1454.0,12963.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,26307.0,26307.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,142019.0,142019.0,38,True,1,,MIT,12.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-02-01 17:45:24,2024-02-01 17:19:21,8503.0,65.0,501.0,121.0,853.0,274.0,1532.0,10685.0,2024-02-01 17:52:13,36.8.6,100.0,A collection of composable React components for building interactive data visualizations.,22968.0,22968.0,233.0,https://www.npmjs.com/package/victory-native,328993.0,328993.0,38,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-02-01 13:32:08,2024-01-31 13:05:31,4059.0,94.0,668.0,327.0,2156.0,61.0,568.0,5971.0,2024-01-30 11:16:36,7.16.0,100.0,UI Components Library for React Native.,3680.0,3680.0,147.0,https://www.npmjs.com/package/react-native-ui-lib,290738.0,290738.0,35,True,2,,MIT,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-01-29 05:20:51,2024-01-29 05:19:55,2426.0,20.0,4523.0,371.0,1639.0,84.0,2003.0,24373.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,412.0,https://www.npmjs.com/package/react-native-elements,525281.0,525281.0,34,True,2,1.0,MIT,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15 11:37:23,2024-01-29 05:41:10,2023-08-04 14:18:44,6324.0,,2293.0,270.0,2261.0,260.0,3161.0,19887.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",3.0,3.0,299.0,https://www.npmjs.com/package/native-base,268293.0,268293.0,32,True,2,,MIT,
