,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-09-05 12:32:21,2024-08-30 07:18:13,2973.0,153.0,4834.0,316.0,1853.0,723.0,8746.0,23460.0,2024-07-25 16:17:39,@react-navigation/native-stack@6.11.0,100.0,Routing and navigation for your React Native apps.,1006145.0,1006145.0,292.0,https://www.npmjs.com/package/@react-navigation/native,4539176.0,4539176.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-08-31 19:41:23,2024-08-18 09:44:54,1587.0,17.0,4600.0,219.0,1242.0,57.0,3623.0,15026.0,2024-08-18 09:45:00,1.18.0,100.0,React Native Mapview component for iOS + Android.,181828.0,181828.0,503.0,https://www.npmjs.com/package/react-native-maps,1102694.0,1102694.0,42,True,1,MIT,-1.0,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-09-06 13:27:06,2024-09-06 11:52:39,23200.0,980.0,5119.0,300.0,15902.0,417.0,13915.0,32576.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",991128.0,991128.0,1449.0,,,,41,True,1,MIT,,
3,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-09-02 08:47:59,2024-08-27 07:13:16,630.0,3.0,2070.0,204.0,402.0,140.0,1104.0,17380.0,2024-05-01 12:01:37,10.1.0,69.0,Customizable Icons for React Native with support for image source and full styling.,615738.0,615738.0,150.0,https://www.npmjs.com/package/react-native-vector-icons,2179712.0,2179712.0,41,True,1,MIT,2.0,
4,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-09-06 12:34:22,2024-09-06 12:34:22,1461.0,53.0,3309.0,192.0,878.0,177.0,1471.0,13434.0,2024-08-30 13:34:16,2.6.2,73.0,The most complete chat UI for React Native.,29123.0,29123.0,221.0,https://www.npmjs.com/package/react-native-gifted-chat,170900.0,170900.0,41,True,1,MIT,4.0,14.0
5,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-08-21 04:23:07,2024-07-28 18:33:36,2094.0,14.0,2043.0,121.0,1899.0,225.0,2258.0,12700.0,2024-07-28 18:34:09,5.12.5,100.0,Material Design for React Native (Android & iOS).,208953.0,208953.0,330.0,https://www.npmjs.com/package/react-native-paper,1022344.0,1022344.0,41,True,1,MIT,2.0,
6,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-08-31 06:13:08,2024-08-04 17:53:49,819.0,10.0,1721.0,229.0,412.0,38.0,807.0,16656.0,2024-04-07 13:55:57,6.7.2,40.0,Lottie wrapper for React Native.,117934.0,117934.0,149.0,https://www.npmjs.com/package/lottie-react-native,1512045.0,1512045.0,40,True,1,Apache-2.0,1.0,
7,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-09-05 16:54:37,2024-09-05 11:48:11,4283.0,91.0,690.0,323.0,2430.0,78.0,583.0,6417.0,2024-09-04 08:01:09,7.30.0,100.0,UI Components Library for React Native.,4255.0,4255.0,153.0,https://www.npmjs.com/package/react-native-ui-lib,338595.0,338595.0,37,True,2,MIT,,
8,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-09-05 15:54:40,2024-09-05 15:49:53,8566.0,6.0,511.0,120.0,915.0,79.0,1775.0,10954.0,2024-09-05 17:38:13,37.1.1,100.0,A collection of composable React components for building interactive data visualizations.,25270.0,25270.0,237.0,https://www.npmjs.com/package/victory-native,415364.0,415364.0,36,True,1,,-1.0,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-05-01 22:24:47,2024-02-04 03:55:07,2427.0,,4565.0,367.0,1644.0,120.0,2003.0,24929.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,491976.0,491976.0,32,True,2,MIT,-1.0,
