,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-04-16 16:48:43,2024-04-09 10:08:16,2818.0,94.0,4796.0,320.0,1815.0,698.0,8663.0,23236.0,2024-03-18 18:16:56,@react-navigation/core@6.4.16,100.0,Routing and navigation for your React Native apps.,909907.0,909907.0,281.0,https://www.npmjs.com/package/@react-navigation/native,3928216.0,3928216.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-04-14 14:03:37,2024-04-14 14:03:35,1552.0,46.0,4584.0,216.0,1208.0,60.0,3552.0,14739.0,2024-04-14 14:03:42,1.14.0,100.0,React Native Mapview component for iOS + Android.,173659.0,173659.0,495.0,https://www.npmjs.com/package/react-native-maps,1020745.0,1020745.0,43,True,1,MIT,1.0,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-04-18 17:59:34,2024-04-18 17:45:37,21542.0,963.0,4571.0,288.0,14224.0,405.0,12972.0,28897.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",895141.0,895141.0,1329.0,,,,41,True,1,MIT,,
3,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-04-15 16:35:53,2024-01-24 19:35:12,2079.0,9.0,1998.0,120.0,1871.0,171.0,2234.0,12188.0,2024-01-24 19:36:21,5.12.3,100.0,Material Design for React Native (Android & iOS).,189393.0,189393.0,325.0,https://www.npmjs.com/package/react-native-paper,855046.0,855046.0,40,True,1,MIT,-1.0,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-04-17 00:56:08,2023-12-14 08:26:32,618.0,,2068.0,207.0,389.0,161.0,1058.0,17210.0,2023-12-14 08:27:16,10.0.3,68.0,Customizable Icons for React Native with support for image source and full styling.,578566.0,578566.0,144.0,https://www.npmjs.com/package/react-native-vector-icons,1943463.0,1943463.0,39,True,1,MIT,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-04-12 20:44:02,2024-04-07 18:19:54,809.0,24.0,1712.0,233.0,387.0,26.0,791.0,16483.0,2024-04-07 13:55:57,6.7.2,40.0,Lottie wrapper for React Native.,112939.0,112939.0,145.0,https://www.npmjs.com/package/lottie-react-native,1426263.0,1426263.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-04-11 13:30:37,2023-10-11 12:47:32,1397.0,,3272.0,195.0,875.0,157.0,1458.0,13165.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,27221.0,27221.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,174728.0,174728.0,38,True,1,MIT,,13.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-04-11 18:22:52,2024-04-04 19:34:16,8556.0,81.0,505.0,121.0,902.0,102.0,1736.0,10766.0,2024-04-04 19:02:58,37.0.2,100.0,A collection of composable React components for building interactive data visualizations.,23892.0,23892.0,235.0,https://www.npmjs.com/package/victory-native,363356.0,363356.0,38,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-04-18 09:41:32,2024-04-18 06:49:13,4142.0,106.0,671.0,326.0,2250.0,71.0,571.0,6127.0,2024-04-10 11:39:20,7.20.0,100.0,UI Components Library for React Native.,3886.0,3886.0,148.0,https://www.npmjs.com/package/react-native-ui-lib,269561.0,269561.0,36,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-04-07 16:16:14,2024-02-04 03:55:07,2427.0,5.0,4538.0,369.0,1642.0,90.0,2003.0,24566.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,562340.0,562340.0,33,True,2,MIT,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15 11:37:23,2024-01-29 05:41:10,2023-08-04 14:18:44,6324.0,,2299.0,269.0,2261.0,266.0,3161.0,19998.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",3.0,3.0,299.0,https://www.npmjs.com/package/native-base,252748.0,252748.0,31,True,2,MIT,,
11,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,2017-10-30 09:28:29,2024-04-18 08:49:48,2020-04-14 18:49:24,386.0,,369.0,15.0,152.0,180.0,275.0,2312.0,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,7367.0,7367.0,39.0,https://www.npmjs.com/package/react-native-svg-charts,177575.0,177575.0,30,True,1,MIT,1.0,
12,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,2016-02-10 16:06:07,2024-04-18 16:58:17,2024-04-14 03:31:21,2554.0,42.0,1323.0,243.0,1134.0,23.0,1303.0,16601.0,2024-04-14 03:31:27,9.6.3,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",3.0,3.0,216.0,,,,29,True,3,MIT,-1.0,
13,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,2016-12-20 08:22:38,2024-02-07 22:48:40,2024-01-05 12:22:19,842.0,,930.0,128.0,574.0,152.0,1021.0,10103.0,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,11197.0,11197.0,63.0,https://www.npmjs.com/package/react-native-ui-kitten,968.0,968.0,29,True,3,MIT,-1.0,
14,react-native-chart-kit,indiespirit/react-native-chart-kit,chart-components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,2017-12-20 02:30:08,2024-04-17 13:58:08,2022-02-08 04:03:57,336.0,,619.0,13.0,180.0,396.0,155.0,2747.0,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",17858.0,17858.0,102.0,https://www.npmjs.com/package/react-native-chart-kit,183129.0,183129.0,29,True,2,MIT,1.0,
15,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,2016-08-08 15:26:08,2024-03-29 14:28:57,2024-03-29 14:28:56,1305.0,26.0,439.0,92.0,499.0,103.0,216.0,4874.0,2023-01-10 14:17:30,6.1.2,84.0,Customizable set of components for React Native applications.,1425.0,1425.0,56.0,https://www.npmjs.com/package/@shoutem/ui,4968.0,4968.0,28,True,3,,-1.0,37.0
16,RNMK,xinthink/react-native-material-kit,ui-frameworks,react-native-material-kit,https://github.com/xinthink/react-native-material-kit,https://github.com/xinthink/react-native-material-kit,2015-07-01 12:33:24,2023-01-04 06:15:00,2020-03-08 04:28:42,496.0,,555.0,100.0,163.0,150.0,156.0,4840.0,2016-12-18 05:14:29,0.3.4,15.0,Bringing Material Design to React Native.,1572.0,1572.0,76.0,https://www.npmjs.com/package/react-native-material-kit,790.0,790.0,26,True,3,MIT,,
17,react-native-charts-wrapper,wuxudong/react-native-charts-wrapper,chart-components,react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,2017-03-03 07:58:57,2024-04-11 00:59:00,2024-02-05 04:47:54,341.0,2.0,605.0,51.0,124.0,187.0,677.0,2399.0,2023-10-28 07:08:16,0.6.0,35.0,a react native charts wrapper (support android & iOS).,1461.0,1461.0,58.0,https://www.npmjs.com/package/react-native-charts-wrapper,36307.0,36307.0,26,True,2,,,
18,React Native Material UI,xotahal/react-native-material-ui,ui-frameworks,react-native-material-ui,https://github.com/xotahal/react-native-material-ui,https://github.com/xotahal/react-native-material-ui,2016-03-24 15:40:53,2023-04-19 08:31:36,2019-04-19 21:39:12,524.0,,589.0,88.0,205.0,169.0,145.0,3785.0,2019-04-20 05:02:31,2.0.0-alpha.1@deelop,20.0,Highly customizable material design components for React Native.,2979.0,2979.0,71.0,https://www.npmjs.com/package/react-native-material-ui,2692.0,2692.0,25,True,3,MIT,,
