,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-03-29 19:02:54,2024-03-29 19:02:53,2817.0,102.0,4798.0,319.0,1812.0,693.0,8658.0,23200.0,2024-03-18 18:16:56,@react-navigation/core@6.4.16,100.0,Routing and navigation for your React Native apps.,900298.0,900298.0,281.0,https://www.npmjs.com/package/@react-navigation/native,4216047.0,4216047.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-04-03 09:46:04,2024-04-01 16:17:54,1533.0,29.0,4585.0,216.0,1201.0,64.0,3546.0,14713.0,2024-04-01 16:18:02,1.13.0,100.0,React Native Mapview component for iOS + Android.,172748.0,172748.0,493.0,https://www.npmjs.com/package/react-native-maps,1133718.0,1133718.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-04-04 17:34:31,2024-04-04 16:24:55,21379.0,953.0,4538.0,285.0,14056.0,417.0,12885.0,28595.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",884866.0,884866.0,1319.0,,,,41,True,1,MIT,,
3,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-03-28 12:54:29,2024-01-24 19:35:12,2079.0,34.0,1997.0,120.0,1869.0,159.0,2234.0,12159.0,2024-01-24 19:36:21,5.12.3,100.0,Material Design for React Native (Android & iOS).,187240.0,187240.0,325.0,https://www.npmjs.com/package/react-native-paper,919129.0,919129.0,41,True,1,MIT,,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-03-30 08:22:34,2023-12-14 08:26:32,618.0,,2067.0,206.0,388.0,159.0,1058.0,17188.0,2023-12-14 08:27:16,10.0.3,68.0,Customizable Icons for React Native with support for image source and full styling.,574560.0,574560.0,144.0,https://www.npmjs.com/package/react-native-vector-icons,2001671.0,2001671.0,39,True,1,MIT,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-03-29 12:28:59,2024-03-23 09:34:41,802.0,20.0,1714.0,232.0,383.0,28.0,788.0,16461.0,2024-03-03 20:57:01,6.7.0,38.0,Lottie wrapper for React Native.,112396.0,112396.0,145.0,https://www.npmjs.com/package/lottie-react-native,1545154.0,1545154.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-03-22 13:28:13,2023-10-11 12:47:32,1397.0,,3269.0,194.0,873.0,155.0,1458.0,13139.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,27064.0,27064.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,176719.0,176719.0,38,True,1,MIT,13.0,
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-04-04 18:01:41,2024-04-04 18:01:40,8554.0,106.0,505.0,121.0,901.0,106.0,1730.0,10753.0,2024-03-25 16:04:33,37.0.1,100.0,A collection of composable React components for building interactive data visualizations.,23723.0,23723.0,235.0,https://www.npmjs.com/package/victory-native,364764.0,364764.0,38,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-04-04 13:05:27,2024-04-03 13:55:26,4118.0,96.0,672.0,326.0,2223.0,68.0,572.0,6098.0,2024-03-27 14:38:02,7.19.0,100.0,UI Components Library for React Native.,3843.0,3843.0,148.0,https://www.npmjs.com/package/react-native-ui-lib,287202.0,287202.0,36,True,2,MIT,,1.0
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-03-03 07:55:01,2024-02-04 03:55:07,2427.0,6.0,4541.0,370.0,1641.0,90.0,2002.0,24535.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,575149.0,575149.0,33,True,2,MIT,,
