,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,license,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-02-15 13:06:50,2024-02-08 13:11:33,2733.0,38.0,4794.0,324.0,1784.0,682.0,8622.0,23110.0,2024-02-08 12:39:14,@react-navigation/bottom-tabs@6.5.12,100.0,Routing and navigation for your React Native apps.,866985.0,866985.0,271.0,https://www.npmjs.com/package/@react-navigation/native,3538853.0,3538853.0,42,True,1,-1.0,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-02-15 09:14:32,2024-02-10 14:25:31,1514.0,30.0,4583.0,218.0,1187.0,65.0,3520.0,14613.0,2024-02-10 14:25:38,1.10.2,100.0,React Native Mapview component for iOS + Android.,169620.0,169620.0,489.0,https://www.npmjs.com/package/react-native-maps,1001366.0,1001366.0,42,True,1,,MIT,
2,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-02-12 09:41:39,2024-01-24 19:35:12,2079.0,52.0,1985.0,117.0,1860.0,130.0,2228.0,11945.0,2024-01-24 19:36:21,5.12.3,100.0,Material Design for React Native (Android & iOS).,178759.0,178759.0,325.0,https://www.npmjs.com/package/react-native-paper,794269.0,794269.0,42,True,1,,MIT,
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-02-15 17:50:21,2024-02-15 17:50:20,20834.0,979.0,4406.0,284.0,13475.0,417.0,12575.0,27019.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",849388.0,849388.0,1278.0,,,,41,True,1,,MIT,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-02-14 18:35:04,2023-12-14 08:26:32,618.0,3.0,2057.0,206.0,385.0,151.0,1056.0,17112.0,2023-12-14 08:27:16,10.0.3,68.0,Customizable Icons for React Native with support for image source and full styling.,559452.0,559452.0,144.0,https://www.npmjs.com/package/react-native-vector-icons,1741967.0,1741967.0,39,True,1,,MIT,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-02-08 07:11:49,2024-02-08 07:11:49,794.0,25.0,1707.0,232.0,369.0,20.0,777.0,16398.0,2024-01-28 12:10:56,6.6.0,37.0,Lottie wrapper for React Native.,110559.0,110559.0,143.0,https://www.npmjs.com/package/lottie-react-native,1307475.0,1307475.0,39,True,1,,Apache-2.0,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-02-01 15:04:12,2023-10-11 12:47:32,1397.0,,3270.0,194.0,871.0,146.0,1454.0,12995.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,26435.0,26435.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,142995.0,142995.0,38,True,1,,MIT,12.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-02-15 18:00:20,2024-02-15 17:41:53,8523.0,82.0,503.0,121.0,880.0,278.0,1538.0,10707.0,2024-02-06 16:04:28,36.9.1,100.0,A collection of composable React components for building interactive data visualizations.,23130.0,23130.0,234.0,https://www.npmjs.com/package/victory-native,309068.0,309068.0,38,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-02-15 15:51:51,2024-02-15 12:38:18,4073.0,98.0,670.0,326.0,2174.0,64.0,569.0,5999.0,2024-01-30 11:16:36,7.16.0,100.0,UI Components Library for React Native.,3717.0,3717.0,146.0,https://www.npmjs.com/package/react-native-ui-lib,305779.0,305779.0,35,True,2,,MIT,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-02-08 17:54:01,2024-02-04 03:55:07,2427.0,19.0,4524.0,372.0,1640.0,86.0,2003.0,24406.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,515528.0,515528.0,34,True,2,,MIT,
