,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,license,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2023-12-28 15:04:29,2023-12-28 15:04:28,2714.0,50.0,4776.0,322.0,1764.0,679.0,8600.0,22957.0,2023-11-03 14:58:32,@react-navigation/native-stack@6.9.17,100.0,Routing and navigation for your React Native apps.,838234.0,838234.0,266.0,https://www.npmjs.com/package/@react-navigation/native,3044991.0,3044991.0,42,True,1,-1.0,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2023-12-25 15:33:16,2023-12-15 13:50:29,1496.0,16.0,4588.0,218.0,1179.0,61.0,3495.0,14532.0,2023-12-15 13:50:37,1.8.4,100.0,React Native Mapview component for iOS + Android.,166925.0,166925.0,485.0,https://www.npmjs.com/package/react-native-maps,860094.0,860094.0,42,True,1,,MIT,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2023-12-28 17:17:31,2023-12-28 10:32:51,20356.0,984.0,4305.0,278.0,12976.0,385.0,12194.0,25297.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",819702.0,819702.0,1241.0,,,,41,True,1,,MIT,
3,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2023-12-27 11:52:53,2023-12-27 11:38:34,2043.0,38.0,1967.0,117.0,1841.0,112.0,2199.0,11694.0,2023-12-27 11:53:07,4.12.6,100.0,Material Design for React Native (Android & iOS).,171336.0,171336.0,316.0,https://www.npmjs.com/package/react-native-paper,656090.0,656090.0,41,True,1,,MIT,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2023-12-14 08:27:16,2023-12-14 08:26:32,618.0,14.0,2059.0,207.0,377.0,149.0,1056.0,17046.0,2023-12-14 08:27:16,10.0.3,68.0,Customizable Icons for React Native with support for image source and full styling.,545596.0,545596.0,144.0,https://www.npmjs.com/package/react-native-vector-icons,1604303.0,1604303.0,40,True,1,,MIT,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2023-12-28 09:55:29,2023-12-28 09:55:11,775.0,15.0,1705.0,234.0,353.0,28.0,751.0,16334.0,2023-11-14 21:03:38,6.4.1,33.0,Lottie wrapper for React Native.,108844.0,108844.0,140.0,https://www.npmjs.com/package/lottie-react-native,1181001.0,1181001.0,39,True,1,,Apache-2.0,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2023-12-06 10:24:52,2023-10-11 12:47:32,1397.0,2.0,3268.0,193.0,869.0,144.0,1452.0,12863.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,25900.0,25900.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,133586.0,133586.0,37,True,1,,MIT,12.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2023-12-25 20:59:39,2023-12-21 17:08:53,8445.0,12.0,502.0,122.0,792.0,283.0,1502.0,10647.0,2023-11-29 14:42:36,36.7.0,97.0,A collection of composable React components for building interactive data visualizations.,22538.0,22538.0,228.0,https://www.npmjs.com/package/victory-native,291215.0,291215.0,37,True,1,,,
8,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2023-12-27 12:35:19,2023-12-27 12:35:19,2421.0,16.0,4525.0,371.0,1636.0,79.0,2000.0,24266.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,4.0,4.0,409.0,https://www.npmjs.com/package/react-native-elements,456331.0,456331.0,35,True,2,1.0,MIT,
9,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2023-12-28 14:26:40,2023-12-25 15:12:13,4016.0,71.0,664.0,328.0,2101.0,57.0,564.0,5892.0,2023-12-20 12:27:07,7.13.0,100.0,UI Components Library for React Native.,3595.0,3595.0,146.0,https://www.npmjs.com/package/react-native-ui-lib,189064.0,189064.0,35,True,2,,MIT,
