,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-04-28 11:27:12,2024-04-09 10:08:16,2818.0,90.0,4804.0,320.0,1818.0,702.0,8674.0,23271.0,2024-03-18 18:16:56,@react-navigation/core@6.4.16,100.0,Routing and navigation for your React Native apps.,919227.0,919227.0,281.0,https://www.npmjs.com/package/@react-navigation/native,3915431.0,3915431.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-04-25 07:23:08,2024-04-14 14:03:35,1552.0,43.0,4587.0,214.0,1211.0,53.0,3563.0,14762.0,2024-04-14 14:03:42,1.14.0,100.0,React Native Mapview component for iOS + Android.,174539.0,174539.0,495.0,https://www.npmjs.com/package/react-native-maps,1026136.0,1026136.0,43,True,1,MIT,1.0,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-05-02 17:40:36,2024-05-02 16:16:51,21801.0,1069.0,4607.0,285.0,14422.0,397.0,13064.0,29184.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",905148.0,905148.0,1341.0,,,,41,True,1,MIT,,
3,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-05-01 11:51:03,2024-01-24 19:35:12,2079.0,,2001.0,119.0,1875.0,180.0,2237.0,12225.0,2024-01-24 19:36:21,5.12.3,100.0,Material Design for React Native (Android & iOS).,191454.0,191454.0,325.0,https://www.npmjs.com/package/react-native-paper,865649.0,865649.0,40,True,1,MIT,-1.0,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-05-01 12:02:18,2024-05-01 12:01:05,626.0,8.0,2072.0,206.0,391.0,158.0,1062.0,17227.0,2024-05-01 12:01:37,10.1.0,69.0,Customizable Icons for React Native with support for image source and full styling.,582494.0,582494.0,148.0,https://www.npmjs.com/package/react-native-vector-icons,1942272.0,1942272.0,39,True,1,MIT,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-05-02 14:37:16,2024-04-07 18:19:54,809.0,19.0,1709.0,233.0,389.0,26.0,794.0,16503.0,2024-04-07 13:55:57,6.7.2,40.0,Lottie wrapper for React Native.,113419.0,113419.0,145.0,https://www.npmjs.com/package/lottie-react-native,1429395.0,1429395.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-04-11 13:30:37,2023-10-11 12:47:32,1397.0,,3275.0,195.0,875.0,157.0,1458.0,13206.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,27411.0,27411.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,161992.0,161992.0,38,True,1,MIT,,13.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-04-30 21:13:21,2024-04-04 19:34:16,8556.0,53.0,507.0,120.0,903.0,105.0,1736.0,10778.0,2024-04-04 19:02:58,37.0.2,100.0,A collection of composable React components for building interactive data visualizations.,24066.0,24066.0,235.0,https://www.npmjs.com/package/victory-native,366918.0,366918.0,38,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-05-02 13:37:29,2024-05-01 12:22:44,4145.0,86.0,676.0,326.0,2257.0,71.0,572.0,6154.0,2024-05-01 11:08:37,7.21.0,100.0,UI Components Library for React Native.,3925.0,3925.0,148.0,https://www.npmjs.com/package/react-native-ui-lib,275514.0,275514.0,36,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-05-01 22:24:47,2024-02-04 03:55:07,2427.0,1.0,4540.0,368.0,1643.0,93.0,2003.0,24602.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,547351.0,547351.0,32,True,2,MIT,-1.0,
