,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2023-11-02 13:38:23,2023-11-01 11:10:21,2680.0,42.0,4749.0,322.0,1741.0,666.0,8569.0,22834.0,2023-10-23 07:40:29,@react-navigation/elements@1.3.21,100.0,Routing and navigation for your React Native apps.,797288.0,797288.0,264.0,https://www.npmjs.com/package/@react-navigation/native,3401371.0,3401371.0,42,True,1,,,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2023-10-29 15:09:20,2023-10-24 08:50:16,2024.0,52.0,1936.0,117.0,1816.0,96.0,2163.0,11438.0,2023-10-24 08:51:10,5.11.1,100.0,Material Design for React Native (Android & iOS).,157708.0,157708.0,311.0,https://www.npmjs.com/package/react-native-paper,644644.0,644644.0,42,True,1,MIT,,
2,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2023-11-01 01:46:29,2023-10-09 22:24:24,1477.0,3.0,4582.0,219.0,1161.0,79.0,3449.0,14438.0,2023-10-09 22:24:34,1.8.0,100.0,React Native Mapview component for iOS + Android.,163198.0,163198.0,480.0,https://www.npmjs.com/package/react-native-maps,966821.0,966821.0,41,True,1,MIT,,
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2023-11-02 17:59:10,2023-11-02 15:57:28,19650.0,737.0,4212.0,282.0,12333.0,355.0,11922.0,24173.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",782970.0,782970.0,1212.0,,,,40,True,1,MIT,,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2023-10-30 11:57:47,2023-10-26 12:50:31,610.0,6.0,2054.0,207.0,372.0,140.0,1054.0,16978.0,2023-10-26 12:51:45,10.0.1,66.0,Customizable Icons for React Native with support for image source and full styling.,523310.0,523310.0,139.0,https://www.npmjs.com/package/react-native-vector-icons,1843889.0,1843889.0,39,True,1,MIT,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2023-11-02 10:06:31,2023-11-02 10:06:30,766.0,28.0,1691.0,234.0,345.0,27.0,743.0,16179.0,2023-10-29 16:02:53,6.4.0,32.0,Lottie wrapper for React Native.,106651.0,106651.0,139.0,https://www.npmjs.com/package/lottie-react-native,1300098.0,1300098.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2023-10-15 12:57:45,2023-10-11 12:47:32,1397.0,5.0,3260.0,193.0,866.0,134.0,1452.0,12765.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,25141.0,25141.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,144436.0,144436.0,39,True,1,MIT,12.0,
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2023-11-02 16:18:07,2023-11-02 13:54:41,8438.0,5.0,496.0,124.0,784.0,282.0,1495.0,10574.0,2023-11-02 15:48:31,36.6.12,96.0,A collection of composable React components for building interactive data visualizations.,21780.0,21780.0,224.0,https://www.npmjs.com/package/victory-native,311394.0,311394.0,36,True,1,,,1.0
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2023-11-02 15:01:04,2023-11-02 09:47:41,3965.0,73.0,654.0,333.0,2042.0,48.0,561.0,5775.0,2023-10-12 06:44:44,7.9.0,100.0,UI Components Library for React Native.,3436.0,3436.0,141.0,https://www.npmjs.com/package/react-native-ui-lib,214534.0,214534.0,35,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2023-10-19 06:24:45,2023-09-09 10:05:52,2405.0,5.0,4498.0,372.0,1629.0,80.0,1993.0,24114.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,4.0,4.0,404.0,https://www.npmjs.com/package/react-native-elements,538527.0,538527.0,34,True,2,MIT,,
