,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,license,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2023-09-13 14:06:47,2023-09-13 14:06:33,2659.0,28.0,4739.0,322.0,1722.0,648.0,8533.0,22727.0,2023-06-22 13:20:45,react-native-tab-view@3.5.2,100.0,Routing and navigation for your React Native apps.,759652.0,759652.0,261.0,https://www.npmjs.com/package/@react-navigation/native,3278061.0,3278061.0,42,True,1,1.0,,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2023-09-13 07:43:43,2023-09-04 14:36:15,1992.0,63.0,1918.0,116.0,1790.0,90.0,2111.0,11223.0,2023-09-04 14:37:16,5.10.4,100.0,Material Design for React Native (Android & iOS).,143147.0,143147.0,307.0,https://www.npmjs.com/package/react-native-paper,611478.0,611478.0,42,True,1,,MIT,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2023-09-14 17:38:31,2023-09-14 17:28:49,19233.0,897.0,4131.0,282.0,11939.0,335.0,11617.0,23305.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",749324.0,749324.0,1182.0,,,,41,True,1,,MIT,
3,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2023-09-13 03:59:41,2023-04-23 13:51:31,1474.0,,4570.0,219.0,1158.0,71.0,3440.0,14321.0,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,160284.0,160284.0,478.0,https://www.npmjs.com/package/react-native-maps,867697.0,867697.0,41,True,1,,MIT,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2023-09-07 11:47:26,2023-07-20 08:34:21,604.0,19.0,2053.0,211.0,361.0,153.0,1034.0,16898.0,2023-07-17 13:34:46,10.0.0,65.0,Customizable Icons for React Native with support for image source and full styling.,501758.0,501758.0,135.0,https://www.npmjs.com/package/react-native-vector-icons,1696211.0,1696211.0,40,True,1,,MIT,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2023-09-04 13:59:48,2023-09-04 13:29:08,756.0,41.0,1690.0,235.0,337.0,28.0,723.0,16094.0,2023-08-16 16:01:27,6.2.0,29.0,Lottie wrapper for React Native.,104988.0,104988.0,137.0,https://www.npmjs.com/package/lottie-react-native,1217116.0,1217116.0,39,True,1,,Apache-2.0,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2023-08-30 09:10:51,2023-08-30 09:10:51,1394.0,4.0,3250.0,194.0,864.0,125.0,1448.0,12677.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,24523.0,24523.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,139404.0,139404.0,39,True,1,-1.0,MIT,12.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2023-09-10 14:07:26,2023-06-13 00:08:24,8433.0,,491.0,129.0,779.0,274.0,1491.0,10495.0,2022-08-04 17:11:19,36.6.0,95.0,A collection of composable React components for building interactive data visualizations.,21155.0,21155.0,222.0,https://www.npmjs.com/package/victory-native,288633.0,288633.0,35,True,1,1.0,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2023-09-13 12:26:43,2023-09-11 06:15:42,3934.0,83.0,652.0,337.0,2017.0,51.0,539.0,5668.0,2023-08-30 09:00:20,7.8.0,100.0,UI Components Library for React Native.,3274.0,3274.0,138.0,https://www.npmjs.com/package/react-native-ui-lib,177869.0,177869.0,35,True,2,,MIT,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2023-09-09 10:05:52,2023-09-09 10:05:52,2405.0,9.0,4457.0,374.0,1624.0,75.0,1992.0,23976.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,4.0,4.0,404.0,https://www.npmjs.com/package/react-native-elements,500085.0,500085.0,34,True,2,,MIT,
