,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-01-18 13:33:59,2024-01-18 13:19:51,2724.0,53.0,4785.0,322.0,1776.0,680.0,8610.0,23028.0,2023-11-03 14:58:32,@react-navigation/native-stack@6.9.17,100.0,Routing and navigation for your React Native apps.,849368.0,849368.0,268.0,https://www.npmjs.com/package/@react-navigation/native,2664012.0,2664012.0,42,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-01-14 12:51:54,2024-01-12 14:05:44,1506.0,23.0,4585.0,218.0,1183.0,56.0,3507.0,14567.0,2024-01-05 10:53:33,1.9.1,100.0,React Native Mapview component for iOS + Android.,167962.0,167962.0,487.0,https://www.npmjs.com/package/react-native-maps,754478.0,754478.0,42,True,1,MIT,,
2,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-01-18 13:47:15,2024-01-12 21:30:48,2070.0,50.0,1975.0,117.0,1853.0,118.0,2218.0,11804.0,2024-01-12 21:32:10,5.12.1,100.0,Material Design for React Native (Android & iOS).,174088.0,174088.0,324.0,https://www.npmjs.com/package/react-native-paper,619679.0,619679.0,42,True,1,MIT,,
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-01-18 17:59:15,2024-01-18 17:59:07,20558.0,1046.0,4334.0,280.0,13174.0,381.0,12330.0,25952.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",831345.0,831345.0,1253.0,,,,41,True,1,MIT,,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-01-08 13:30:02,2023-12-14 08:26:32,618.0,14.0,2060.0,206.0,382.0,151.0,1056.0,17067.0,2023-12-14 08:27:16,10.0.3,68.0,Customizable Icons for React Native with support for image source and full styling.,550991.0,550991.0,144.0,https://www.npmjs.com/package/react-native-vector-icons,1395707.0,1395707.0,40,True,1,MIT,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-01-17 18:03:47,2024-01-16 09:06:31,785.0,25.0,1707.0,234.0,362.0,24.0,760.0,16361.0,2024-01-04 15:12:40,6.5.1,35.0,Lottie wrapper for React Native.,109566.0,109566.0,142.0,https://www.npmjs.com/package/lottie-react-native,991436.0,991436.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-01-17 02:23:02,2023-10-11 12:47:32,1397.0,,3266.0,192.0,870.0,144.0,1452.0,12925.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,26128.0,26128.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,111520.0,111520.0,38,True,1,MIT,12.0,
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-01-18 14:55:14,2024-01-18 14:50:50,8471.0,34.0,502.0,121.0,821.0,276.0,1517.0,10668.0,2024-01-16 18:41:44,36.8.2,99.0,A collection of composable React components for building interactive data visualizations.,22795.0,22795.0,233.0,https://www.npmjs.com/package/victory-native,260729.0,260729.0,37,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-01-18 12:45:55,2024-01-18 09:02:09,4036.0,84.0,667.0,328.0,2131.0,60.0,568.0,5937.0,2024-01-17 09:47:15,7.15.0,100.0,UI Components Library for React Native.,3648.0,3648.0,147.0,https://www.npmjs.com/package/react-native-ui-lib,211769.0,211769.0,35,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-01-18 09:45:39,2023-12-27 12:35:19,2421.0,15.0,4522.0,370.0,1639.0,85.0,2000.0,24328.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,409.0,https://www.npmjs.com/package/react-native-elements,413196.0,413196.0,33,True,2,MIT,,
