,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending
0,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2023-07-26 16:46:49,2023-07-25 10:37:31,1958,58.0,1910,116,1771,83,2072,11030,2023-07-04 12:41:20,5.9.1,100.0,Material Design for React Native (Android & iOS).,129615.0,129615.0,301,https://www.npmjs.com/package/react-native-paper,611158.0,611158.0,42,True,1,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2023-07-19 04:28:04,2023-04-23 13:51:31,1474,,4570,220,1151,50,3429,14217,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,157590.0,157590.0,478,https://www.npmjs.com/package/react-native-maps,820194.0,820194.0,41,True,1,,
2,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2023-07-18 21:59:18,2023-06-15 18:23:37,1389,48.0,3240,193,863,116,1446,12587,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,23907.0,23907.0,216,https://www.npmjs.com/package/react-native-gifted-chat,147494.0,147494.0,41,True,1,12.0,
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2023-07-27 17:18:53,2023-07-27 16:12:17,18859,831.0,4048,280,11555,327,11338,22385,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",721093.0,721093.0,1149,,,,40,True,1,,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2023-07-24 03:04:50,2023-07-20 08:34:21,604,20.0,2044,212,356,379,797,16806,2023-07-17 13:34:46,10.0.0,65.0,Customizable Icons for React Native with support for image source and full styling.,482140.0,482140.0,135,https://www.npmjs.com/package/react-native-vector-icons,1594599.0,1594599.0,40,True,1,,
5,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2023-07-14 12:27:03,2023-06-18 16:19:17,2399,10.0,4438,377,1617,71,1987,23823,2022-12-23 20:15:46,3.4.3,84.0,Cross-Platform React Native UI Toolkit.,10762.0,10762.0,400,https://www.npmjs.com/package/react-native-elements,443835.0,443835.0,39,True,1,,1.0
6,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2023-07-27 07:06:30,2023-07-03 18:13:36,2635,8.0,4719,323,1702,646,8483,22601,2023-06-22 13:20:45,react-native-tab-view@3.5.2,100.0,Routing and navigation for your React Native apps.,232573.0,232573.0,252,https://www.npmjs.com/package/@react-navigation/native,3209533.0,3209533.0,39,True,1,,
7,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2023-07-27 09:38:45,2023-07-25 18:17:15,732,20.0,1688,237,319,29,705,16002,2023-07-25 18:19:08,6.0.1,25.0,Lottie wrapper for React Native.,103439.0,103439.0,133,https://www.npmjs.com/package/lottie-react-native,1176277.0,1176277.0,39,True,1,,1.0
8,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,,2015-07-02 22:36:50,2023-07-06 17:58:43,2023-06-13 00:08:24,8433,7.0,486,130,776,262,1491,10428,2022-08-04 17:11:19,36.6.0,95.0,A collection of composable React components for building interactive data visualizations.,20469.0,20469.0,220,https://www.npmjs.com/package/victory-native,280813.0,280813.0,35,True,1,,
9,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2023-07-27 16:08:50,2023-07-27 14:06:14,3890,81.0,651,335,1981,40,535,5548,2023-07-20 08:18:22,7.6.0,100.0,UI Components Library for React Native.,3137.0,3137.0,136,https://www.npmjs.com/package/react-native-ui-lib,113756.0,113756.0,35,True,2,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,MIT,2016-04-15 11:37:23,2023-07-27 08:23:13,2023-03-06 08:05:15,6322,,2278,271,2254,250,3157,19560,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",,,299,https://www.npmjs.com/package/native-base,360455.0,360455.0,32,True,2,,
11,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,MIT,2016-12-20 08:22:38,2023-06-12 07:53:24,2023-06-12 07:53:24,841,5.0,898,125,569,124,1015,9737,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,6201.0,6201.0,62,https://www.npmjs.com/package/react-native-ui-kitten,1280.0,1280.0,31,True,3,,
