,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-03-07 15:13:00,2024-03-07 15:12:24,2761.0,62.0,4794.0,321.0,1801.0,683.0,8644.0,23145.0,2024-02-28 17:03:11,@react-navigation/devtools@6.0.23,100.0,Routing and navigation for your React Native apps.,881240.0,881240.0,276.0,https://www.npmjs.com/package/@react-navigation/native,4127930.0,4127930.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-03-04 20:32:48,2024-02-25 17:34:10,1518.0,26.0,4582.0,216.0,1196.0,65.0,3531.0,14660.0,2024-02-18 17:42:25,1.10.3,100.0,React Native Mapview component for iOS + Android.,170879.0,170879.0,490.0,https://www.npmjs.com/package/react-native-maps,1141739.0,1141739.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-03-07 17:38:47,2024-03-07 12:27:39,21041.0,926.0,4466.0,286.0,13698.0,420.0,12722.0,28014.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",864579.0,864579.0,1301.0,,,,41,True,1,MIT,,
3,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-03-03 23:47:26,2024-01-24 19:35:12,2079.0,40.0,1996.0,118.0,1866.0,138.0,2231.0,12050.0,2024-01-24 19:36:21,5.12.3,100.0,Material Design for React Native (Android & iOS).,182558.0,182558.0,325.0,https://www.npmjs.com/package/react-native-paper,934434.0,934434.0,41,True,1,MIT,,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-03-07 09:41:23,2023-12-14 08:26:32,618.0,3.0,2062.0,206.0,388.0,154.0,1056.0,17150.0,2023-12-14 08:27:16,10.0.3,68.0,Customizable Icons for React Native with support for image source and full styling.,566057.0,566057.0,144.0,https://www.npmjs.com/package/react-native-vector-icons,1921979.0,1921979.0,39,True,1,MIT,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-03-06 22:11:45,2024-03-06 22:11:45,799.0,30.0,1711.0,232.0,376.0,26.0,780.0,16429.0,2024-03-03 20:57:01,6.7.0,38.0,Lottie wrapper for React Native.,111374.0,111374.0,144.0,https://www.npmjs.com/package/lottie-react-native,1476889.0,1476889.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-02-01 15:04:12,2023-10-11 12:47:32,1397.0,,3270.0,195.0,871.0,150.0,1458.0,13063.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,26723.0,26723.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,159849.0,159849.0,38,True,1,MIT,12.0,
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-03-04 16:24:48,2024-03-04 16:23:37,8541.0,98.0,503.0,121.0,888.0,178.0,1644.0,10727.0,2024-02-06 16:04:28,36.9.1,100.0,A collection of composable React components for building interactive data visualizations.,23373.0,23373.0,234.0,https://www.npmjs.com/package/victory-native,334318.0,334318.0,38,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-03-07 12:51:12,2024-03-06 13:25:51,4086.0,82.0,672.0,326.0,2187.0,67.0,569.0,6045.0,2024-02-28 07:32:20,7.17.0,100.0,UI Components Library for React Native.,3775.0,3775.0,146.0,https://www.npmjs.com/package/react-native-ui-lib,309410.0,309410.0,35,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-03-03 07:55:01,2024-02-04 03:55:07,2427.0,17.0,4531.0,371.0,1641.0,89.0,2002.0,24469.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,569140.0,569140.0,34,True,2,MIT,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15 11:37:23,2024-01-29 05:41:10,2023-08-04 14:18:44,6324.0,,2293.0,268.0,2261.0,265.0,3161.0,19943.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",3.0,3.0,299.0,https://www.npmjs.com/package/native-base,282841.0,282841.0,32,True,2,MIT,,
11,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,2016-02-10 16:06:07,2024-03-05 04:56:26,2024-03-05 04:56:26,2547.0,59.0,1314.0,242.0,1127.0,23.0,1296.0,16407.0,2024-02-28 02:54:01,9.6.2,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",3.0,3.0,213.0,,,,30,True,3,MIT,,
12,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,2017-10-30 09:28:29,2023-05-17 10:28:38,2020-04-14 18:49:24,386.0,,367.0,14.0,151.0,181.0,275.0,2304.0,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,7214.0,7214.0,39.0,https://www.npmjs.com/package/react-native-svg-charts,217286.0,217286.0,29,True,1,MIT,,
13,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,2016-12-20 08:22:38,2024-02-07 22:48:40,2024-01-05 12:22:19,842.0,1.0,925.0,126.0,574.0,147.0,1021.0,10046.0,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,11188.0,11188.0,62.0,https://www.npmjs.com/package/react-native-ui-kitten,1092.0,1092.0,28,True,3,MIT,,-1.0
