,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2023-11-23 00:40:26,2023-11-20 18:44:42,2696.0,57.0,4761.0,322.0,1750.0,674.0,8582.0,22861.0,2023-11-03 14:58:32,@react-navigation/native-stack@6.9.17,100.0,Routing and navigation for your React Native apps.,816161.0,816161.0,266.0,https://www.npmjs.com/package/@react-navigation/native,3099424.0,3099424.0,42,True,1,,,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2023-11-23 13:51:39,2023-11-23 13:51:28,2036.0,47.0,1952.0,117.0,1828.0,99.0,2181.0,11520.0,2023-11-23 10:02:54,5.11.2,100.0,Material Design for React Native (Android & iOS).,165105.0,165105.0,316.0,https://www.npmjs.com/package/react-native-paper,611664.0,611664.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2023-11-23 17:37:20,2023-11-23 15:31:00,19928.0,877.0,4248.0,280.0,12585.0,365.0,12025.0,24678.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",798509.0,798509.0,1226.0,,,,41,True,1,MIT,1.0,
3,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2023-11-20 11:42:55,2023-10-09 22:24:24,1477.0,3.0,4586.0,219.0,1167.0,71.0,3471.0,14483.0,2023-10-09 22:24:34,1.8.0,100.0,React Native Mapview component for iOS + Android.,164607.0,164607.0,480.0,https://www.npmjs.com/package/react-native-maps,851934.0,851934.0,41,True,1,MIT,,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2023-11-16 21:34:20,2023-11-09 12:54:16,615.0,11.0,2056.0,207.0,374.0,142.0,1054.0,16994.0,2023-11-09 12:54:47,10.0.2,67.0,Customizable Icons for React Native with support for image source and full styling.,534227.0,534227.0,143.0,https://www.npmjs.com/package/react-native-vector-icons,1657780.0,1657780.0,40,True,1,MIT,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2023-11-14 21:03:17,2023-11-14 21:02:10,769.0,15.0,1704.0,234.0,345.0,28.0,744.0,16275.0,2023-11-14 21:03:38,6.4.1,33.0,Lottie wrapper for React Native.,107503.0,107503.0,139.0,https://www.npmjs.com/package/lottie-react-native,1189252.0,1189252.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2023-10-15 12:57:45,2023-10-11 12:47:32,1397.0,4.0,3265.0,194.0,866.0,137.0,1452.0,12804.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,25398.0,25398.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,130360.0,130360.0,39,True,1,MIT,,12.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2023-11-22 04:58:35,2023-11-15 17:07:29,8441.0,8.0,498.0,124.0,788.0,279.0,1501.0,10595.0,2023-11-02 15:48:31,36.6.12,96.0,A collection of composable React components for building interactive data visualizations.,22069.0,22069.0,226.0,https://www.npmjs.com/package/victory-native,298925.0,298925.0,36,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2023-11-23 13:16:18,2023-11-22 13:04:05,3982.0,55.0,656.0,331.0,2067.0,53.0,561.0,5816.0,2023-11-22 13:28:13,7.11.0,100.0,UI Components Library for React Native.,3501.0,3501.0,142.0,https://www.npmjs.com/package/react-native-ui-lib,171728.0,171728.0,35,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2023-11-17 14:56:13,2023-09-09 10:05:52,2405.0,5.0,4508.0,370.0,1633.0,83.0,1993.0,24172.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,4.0,4.0,404.0,https://www.npmjs.com/package/react-native-elements,467495.0,467495.0,34,True,2,MIT,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15 11:37:23,2023-11-15 08:30:10,2023-08-04 14:18:44,6324.0,,2296.0,269.0,2258.0,259.0,3161.0,19793.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",2.0,2.0,299.0,https://www.npmjs.com/package/native-base,292812.0,292812.0,31,True,2,MIT,,
11,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,2016-12-20 08:22:38,2023-11-07 16:31:20,2023-06-12 07:53:24,841.0,,914.0,125.0,573.0,137.0,1020.0,9906.0,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,11175.0,11175.0,62.0,https://www.npmjs.com/package/react-native-ui-kitten,1065.0,1065.0,29,True,3,MIT,-1.0,
12,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,2017-10-30 09:28:29,2023-05-17 10:28:38,2020-04-14 18:49:24,386.0,,361.0,14.0,151.0,180.0,275.0,2285.0,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,6881.0,6881.0,39.0,https://www.npmjs.com/package/react-native-svg-charts,122310.0,122310.0,29,True,1,MIT,,
13,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,2016-02-10 16:06:07,2023-11-22 20:40:38,2023-11-21 15:47:36,2477.0,35.0,1283.0,242.0,1075.0,25.0,1272.0,15983.0,2023-11-21 15:47:41,9.0.2,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",2.0,2.0,200.0,,,,28,True,3,MIT,,
