,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2023-10-05 10:02:00,2023-10-02 19:31:34,2665.0,30.0,4740.0,323.0,1726.0,652.0,8553.0,22770.0,2023-09-25 07:30:29,@react-navigation/material-top-tabs@6.6.4,100.0,Routing and navigation for your React Native apps.,774773.0,774773.0,261.0,https://www.npmjs.com/package/@react-navigation/native,3424003.0,3424003.0,42,True,1,,,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2023-10-05 07:20:20,2023-10-05 07:17:05,2008.0,54.0,1924.0,115.0,1800.0,87.0,2137.0,11315.0,2023-09-20 21:36:02,5.10.6,100.0,Material Design for React Native (Android & iOS).,148754.0,148754.0,309.0,https://www.npmjs.com/package/react-native-paper,639100.0,639100.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2023-10-05 13:30:55,2023-10-05 10:43:41,19406.0,736.0,4161.0,283.0,12095.0,327.0,11763.0,23690.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",763658.0,763658.0,1190.0,,,,40,True,1,MIT,,
3,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2023-09-19 16:40:15,2023-07-20 08:34:21,604.0,19.0,2046.0,207.0,362.0,156.0,1034.0,16932.0,2023-07-17 13:34:46,10.0.0,65.0,Customizable Icons for React Native with support for image source and full styling.,510354.0,510354.0,135.0,https://www.npmjs.com/package/react-native-vector-icons,1762146.0,1762146.0,40,True,1,MIT,,
4,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2023-09-19 19:55:17,2023-04-23 13:51:31,1474.0,,4570.0,217.0,1158.0,74.0,3443.0,14369.0,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,161455.0,161455.0,478.0,https://www.npmjs.com/package/react-native-maps,906897.0,906897.0,40,True,1,MIT,-1.0,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2023-09-22 08:58:57,2023-09-16 15:16:44,760.0,42.0,1690.0,234.0,340.0,29.0,729.0,16145.0,2023-09-16 15:17:47,6.3.1,31.0,Lottie wrapper for React Native.,105616.0,105616.0,137.0,https://www.npmjs.com/package/lottie-react-native,1316660.0,1316660.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2023-09-21 13:42:39,2023-09-21 13:42:39,1395.0,4.0,3251.0,193.0,865.0,127.0,1450.0,12713.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,24775.0,24775.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,135360.0,135360.0,39,True,1,MIT,,12.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2023-10-03 01:32:48,2023-06-13 00:08:24,8433.0,,492.0,126.0,780.0,279.0,1491.0,10530.0,2022-08-04 17:11:19,36.6.0,95.0,A collection of composable React components for building interactive data visualizations.,21422.0,21422.0,222.0,https://www.npmjs.com/package/victory-native,302584.0,302584.0,35,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2023-10-04 14:40:01,2023-10-04 14:39:57,3947.0,74.0,655.0,336.0,2027.0,53.0,541.0,5708.0,2023-08-30 09:00:20,7.8.0,100.0,UI Components Library for React Native.,3329.0,3329.0,139.0,https://www.npmjs.com/package/react-native-ui-lib,176144.0,176144.0,35,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2023-10-02 16:44:02,2023-09-09 10:05:52,2405.0,6.0,4470.0,373.0,1625.0,75.0,1992.0,24042.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,4.0,4.0,404.0,https://www.npmjs.com/package/react-native-elements,515218.0,515218.0,34,True,2,MIT,,
