,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-10-03 15:05:52,2024-10-03 12:57:46,2988.0,93.0,4843.0,316.0,1872.0,734.0,8761.0,23505.0,2024-07-25 16:17:39,@react-navigation/native-stack@6.11.0,100.0,Routing and navigation for your React Native apps.,1025509.0,1025509.0,297.0,https://www.npmjs.com/package/@react-navigation/native,4907722.0,4907722.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-10-01 02:05:14,2024-08-18 09:44:54,1587.0,17.0,4601.0,218.0,1247.0,59.0,3630.0,15081.0,2024-08-18 09:45:00,1.18.0,100.0,React Native Mapview component for iOS + Android.,183466.0,183466.0,503.0,https://www.npmjs.com/package/react-native-maps,1173921.0,1173921.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-10-03 18:01:29,2024-10-03 16:05:26,23485.0,907.0,5246.0,301.0,16224.0,412.0,14071.0,33186.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",1011407.0,1011407.0,1469.0,,,,41,True,1,MIT,,
3,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-10-01 11:36:35,2024-09-15 18:05:08,632.0,5.0,2070.0,203.0,407.0,137.0,1110.0,17402.0,2024-09-15 18:06:03,10.2.0,70.0,Customizable Icons for React Native with support for image source and full styling.,622806.0,622806.0,150.0,https://www.npmjs.com/package/react-native-vector-icons,2406959.0,2406959.0,41,True,1,MIT,,
4,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-10-01 19:12:38,2024-10-01 19:05:31,1472.0,64.0,3317.0,192.0,885.0,178.0,1475.0,13480.0,2024-10-01 19:12:38,2.6.4,75.0,The most complete chat UI for React Native.,29446.0,29446.0,224.0,https://www.npmjs.com/package/react-native-gifted-chat,183094.0,183094.0,41,True,1,MIT,16.0,
5,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-08-21 04:23:07,2024-07-28 18:33:36,2094.0,14.0,2052.0,123.0,1908.0,237.0,2261.0,12809.0,2024-07-28 18:34:09,5.12.5,100.0,Material Design for React Native (Android & iOS).,212789.0,212789.0,330.0,https://www.npmjs.com/package/react-native-paper,1126680.0,1126680.0,41,True,1,MIT,,
6,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-09-22 06:47:47,2024-09-22 06:47:47,825.0,12.0,1721.0,228.0,418.0,34.0,816.0,16693.0,2024-09-15 20:16:25,7.0.0,41.0,Lottie wrapper for React Native.,118851.0,118851.0,150.0,https://www.npmjs.com/package/lottie-react-native,1616044.0,1616044.0,40,True,1,Apache-2.0,,
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-10-01 20:26:41,2024-10-01 16:31:27,8569.0,9.0,512.0,121.0,919.0,85.0,1776.0,10974.0,2024-09-05 17:38:13,37.1.1,100.0,A collection of composable React components for building interactive data visualizations.,25492.0,25492.0,237.0,https://www.npmjs.com/package/victory-native,450194.0,450194.0,37,True,1,,,1.0
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-10-01 13:42:50,2024-09-30 14:17:32,4311.0,89.0,693.0,322.0,2465.0,82.0,583.0,6466.0,2024-09-30 06:37:01,7.32,100.0,UI Components Library for React Native.,4316.0,4316.0,154.0,https://www.npmjs.com/package/react-native-ui-lib,325608.0,325608.0,36,True,2,MIT,,-1.0
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-05-01 22:24:47,2024-02-04 03:55:07,2427.0,,4568.0,369.0,1646.0,122.0,2003.0,24974.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,501742.0,501742.0,32,True,2,MIT,,
