,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,new_addition
12,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,MIT,2016-02-10 16:06:07,2023-05-04 00:01:26,2023-05-04 00:01:25,2419,22.0,1224,238,1013,29,1220,15245,2023-05-04 00:01:30,8.8.0,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",,,192,,,,28,True,3,,,
13,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,,2016-08-08 15:26:08,2023-03-31 08:34:38,2023-03-31 08:34:37,1231,2.0,434,94,464,101,215,4805,2023-01-10 14:17:30,6.1.2,84.0,Customizable set of components for React Native applications.,1396.0,1396.0,55,https://www.npmjs.com/package/@shoutem/ui,2254.0,2254.0,27,True,3,34.0,,
14,react-native-chart-kit,indiespirit/react-native-chart-kit,components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,MIT,2017-12-20 02:30:08,2023-03-27 07:23:53,2022-02-08 04:03:57,336,,575,15,173,358,148,2479,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",11867.0,11867.0,102,https://www.npmjs.com/package/react-native-chart-kit,113019.0,113019.0,27,True,3,,,True
15,react-native-charts-wrapper,wuxudong/react-native-charts-wrapper,components,react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,,2017-03-03 07:58:57,2023-04-25 01:57:03,2023-04-25 01:56:55,332,2.0,590,50,112,167,667,2297,2022-10-15 10:15:27,0.5.11,34.0,a react native charts wrapper (support android & iOS).,1151.0,1151.0,55,https://www.npmjs.com/package/react-native-charts-wrapper,60472.0,60472.0,27,True,3,,,True
16,RNMK,xinthink/react-native-material-kit,ui-frameworks,react-native-material-kit,https://github.com/xinthink/react-native-material-kit,https://github.com/xinthink/react-native-material-kit,MIT,2015-07-01 12:33:24,2023-01-04 06:15:00,2020-03-08 04:28:42,496,,564,100,163,150,156,4843,2016-12-18 05:14:29,0.3.4,15.0,Bringing Material Design to React Native.,1525.0,1525.0,76,https://www.npmjs.com/package/react-native-material-kit,868.0,868.0,26,True,3,,,
17,React Native Material UI,xotahal/react-native-material-ui,ui-frameworks,react-native-material-ui,https://github.com/xotahal/react-native-material-ui,https://github.com/xotahal/react-native-material-ui,MIT,2016-03-24 15:40:53,2023-04-19 08:31:36,2019-04-19 21:39:12,524,,602,90,205,170,144,3785,2019-04-20 05:02:31,2.0.0-alpha.1@deelop,20.0,Highly customizable material design components for React Native.,2886.0,2886.0,71,https://www.npmjs.com/package/react-native-material-ui,5055.0,5055.0,26,True,3,,,
18,Galio,galio-org/galio,ui-frameworks,galio,https://github.com/galio-org/galio,https://github.com/galio-org/galio,MIT,2018-06-17 16:14:11,2023-04-20 22:58:40,2022-03-30 11:06:58,419,,303,56,131,41,85,3018,2022-03-30 11:08:29,0.8.1,11.0,"Galio is a beautifully designed, Free and Open Source React Native Framework.",2565.0,2565.0,37,https://www.npmjs.com/package/galio,,,24,True,3,,,
19,Teaset,rilyu/teaset,ui-frameworks,teaset,https://github.com/rilyu/teaset,https://github.com/rilyu/teaset,MIT,2016-12-07 03:48:10,2021-05-29 08:52:27,2020-10-23 07:45:44,144,,468,71,29,188,245,2905,2020-04-01 09:07:17,0.7.4,20.0,"A UI library for react native, provides 20+ pure JS(ES6) components, focusing on content display and action control.",716.0,716.0,13,https://www.npmjs.com/package/teaset,648.0,648.0,23,True,3,,,
20,Nachos UI,nachos-ui/nachos-ui,ui-frameworks,nachos-ui,https://github.com/nachos-ui/nachos-ui,https://github.com/nachos-ui/nachos-ui,MIT,2017-01-30 14:22:09,2021-03-12 10:42:57,2018-08-15 19:47:46,58,,121,35,14,13,34,2065,,,,Nachos UI is a React Native component library.,334.0,334.0,10,https://www.npmjs.com/package/nachos-ui,997.0,997.0,19,True,3,,,
21,Material Kit React Native,creativetimofficial/material-kit-react-native,templates,material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,MIT,2019-01-09 12:35:13,2022-07-15 17:30:35,2022-04-18 10:03:45,60,,514,18,8,2,26,541,2022-04-18 10:03:23,1.9.0,8.0,Material Kit React Native.,,,7,https://www.npmjs.com/package/material-kit-react-native,,,14,True,1,,,
