,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-04-10 15:36:19,2024-04-09 10:08:16,2818.0,98.0,4798.0,319.0,1813.0,695.0,8659.0,23214.0,2024-03-18 18:16:56,@react-navigation/core@6.4.16,100.0,Routing and navigation for your React Native apps.,905124.0,905124.0,281.0,https://www.npmjs.com/package/@react-navigation/native,4076713.0,4076713.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-04-11 13:54:32,2024-04-01 16:17:54,1533.0,27.0,4587.0,216.0,1205.0,64.0,3548.0,14726.0,2024-04-01 16:18:02,1.13.0,100.0,React Native Mapview component for iOS + Android.,173196.0,173196.0,493.0,https://www.npmjs.com/package/react-native-maps,1076428.0,1076428.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-04-11 17:48:39,2024-04-11 17:38:54,21452.0,957.0,4552.0,286.0,14128.0,400.0,12941.0,28745.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",889936.0,889936.0,1322.0,,,,41,True,1,MIT,,
3,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-04-05 10:18:50,2024-01-24 19:35:12,2079.0,9.0,1996.0,120.0,1870.0,166.0,2234.0,12174.0,2024-01-24 19:36:21,5.12.3,100.0,Material Design for React Native (Android & iOS).,188242.0,188242.0,325.0,https://www.npmjs.com/package/react-native-paper,885944.0,885944.0,40,True,1,MIT,-1.0,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-03-30 08:22:34,2023-12-14 08:26:32,618.0,,2068.0,207.0,388.0,160.0,1058.0,17197.0,2023-12-14 08:27:16,10.0.3,68.0,Customizable Icons for React Native with support for image source and full styling.,576521.0,576521.0,144.0,https://www.npmjs.com/package/react-native-vector-icons,1986919.0,1986919.0,39,True,1,MIT,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-04-08 12:35:11,2024-04-07 18:19:54,809.0,26.0,1714.0,232.0,386.0,26.0,791.0,16470.0,2024-04-07 13:55:57,6.7.2,40.0,Lottie wrapper for React Native.,112687.0,112687.0,145.0,https://www.npmjs.com/package/lottie-react-native,1491784.0,1491784.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-04-11 13:30:37,2023-10-11 12:47:32,1397.0,,3269.0,195.0,875.0,157.0,1458.0,13152.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,27130.0,27130.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,179373.0,179373.0,38,True,1,MIT,,13.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-04-11 18:01:25,2024-04-04 19:34:16,8556.0,95.0,505.0,121.0,902.0,105.0,1731.0,10758.0,2024-04-04 19:02:58,37.0.2,100.0,A collection of composable React components for building interactive data visualizations.,23807.0,23807.0,235.0,https://www.npmjs.com/package/victory-native,367773.0,367773.0,38,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-04-11 17:18:19,2024-04-10 10:55:45,4128.0,102.0,671.0,326.0,2235.0,68.0,572.0,6113.0,2024-04-10 11:39:20,7.20.0,100.0,UI Components Library for React Native.,3865.0,3865.0,148.0,https://www.npmjs.com/package/react-native-ui-lib,278210.0,278210.0,36,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-04-07 16:16:14,2024-02-04 03:55:07,2427.0,6.0,4538.0,370.0,1642.0,90.0,2002.0,24554.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,576192.0,576192.0,33,True,2,MIT,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15 11:37:23,2024-01-29 05:41:10,2023-08-04 14:18:44,6324.0,,2299.0,269.0,2261.0,266.0,3161.0,19992.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",3.0,3.0,299.0,https://www.npmjs.com/package/native-base,257400.0,257400.0,31,True,2,MIT,,
11,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,2016-02-10 16:06:07,2024-04-11 11:15:42,2024-04-04 19:03:40,2551.0,41.0,1320.0,244.0,1133.0,22.0,1303.0,16578.0,2024-02-28 02:54:01,9.6.2,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",3.0,3.0,215.0,,,,29,True,3,MIT,-1.0,
12,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,2016-12-20 08:22:38,2024-02-07 22:48:40,2024-01-05 12:22:19,842.0,,929.0,128.0,574.0,150.0,1021.0,10086.0,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,11196.0,11196.0,63.0,https://www.npmjs.com/package/react-native-ui-kitten,1037.0,1037.0,29,True,3,MIT,-1.0,
13,react-native-chart-kit,indiespirit/react-native-chart-kit,chart-components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,2017-12-20 02:30:08,2024-04-06 14:42:57,2022-02-08 04:03:57,336.0,,616.0,13.0,179.0,395.0,155.0,2745.0,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",17704.0,17704.0,102.0,https://www.npmjs.com/package/react-native-chart-kit,192231.0,192231.0,29,True,1,MIT,1.0,
14,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,2017-10-30 09:28:29,2023-05-17 10:28:38,2020-04-14 18:49:24,386.0,,368.0,15.0,151.0,181.0,275.0,2312.0,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,7347.0,7347.0,39.0,https://www.npmjs.com/package/react-native-svg-charts,189779.0,189779.0,29,True,1,MIT,,
15,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,2016-08-08 15:26:08,2024-03-29 14:28:57,2024-03-29 14:28:56,1305.0,26.0,439.0,92.0,499.0,103.0,216.0,4873.0,2023-01-10 14:17:30,6.1.2,84.0,Customizable set of components for React Native applications.,1425.0,1425.0,56.0,https://www.npmjs.com/package/@shoutem/ui,7749.0,7749.0,28,True,3,,-1.0,37.0
16,RNMK,xinthink/react-native-material-kit,ui-frameworks,react-native-material-kit,https://github.com/xinthink/react-native-material-kit,https://github.com/xinthink/react-native-material-kit,2015-07-01 12:33:24,2023-01-04 06:15:00,2020-03-08 04:28:42,496.0,,556.0,100.0,163.0,150.0,156.0,4841.0,2016-12-18 05:14:29,0.3.4,15.0,Bringing Material Design to React Native.,1572.0,1572.0,76.0,https://www.npmjs.com/package/react-native-material-kit,869.0,869.0,26,True,3,MIT,,
17,react-native-charts-wrapper,wuxudong/react-native-charts-wrapper,chart-components,react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,2017-03-03 07:58:57,2024-04-11 00:59:00,2024-02-05 04:47:54,341.0,2.0,605.0,51.0,124.0,187.0,676.0,2396.0,2023-10-28 07:08:16,0.6.0,35.0,a react native charts wrapper (support android & iOS).,1454.0,1454.0,58.0,https://www.npmjs.com/package/react-native-charts-wrapper,43774.0,43774.0,26,True,2,,,
18,React Native Material UI,xotahal/react-native-material-ui,ui-frameworks,react-native-material-ui,https://github.com/xotahal/react-native-material-ui,https://github.com/xotahal/react-native-material-ui,2016-03-24 15:40:53,2023-04-19 08:31:36,2019-04-19 21:39:12,524.0,,590.0,88.0,205.0,169.0,145.0,3785.0,2019-04-20 05:02:31,2.0.0-alpha.1@deelop,20.0,Highly customizable material design components for React Native.,2979.0,2979.0,71.0,https://www.npmjs.com/package/react-native-material-ui,2978.0,2978.0,25,True,3,MIT,,
19,Galio,galio-org/galio,ui-frameworks,galio,https://github.com/galio-org/galio,https://github.com/galio-org/galio,2018-06-17 16:14:11,2023-04-20 22:58:40,2022-03-30 11:06:58,419.0,,315.0,55.0,131.0,43.0,85.0,3102.0,2022-03-30 11:08:29,0.8.1,11.0,"Galio is a beautifully designed, Free and Open Source React Native Framework.",2886.0,2886.0,37.0,https://www.npmjs.com/package/galio,,,23,True,3,MIT,,
20,Teaset,rilyu/teaset,ui-frameworks,teaset,https://github.com/rilyu/teaset,https://github.com/rilyu/teaset,2016-12-07 03:48:10,2021-05-29 08:52:27,2020-10-23 07:45:44,144.0,,463.0,70.0,29.0,189.0,245.0,2938.0,2020-04-01 09:07:17,0.7.4,20.0,"A UI library for react native, provides 20+ pure JS(ES6) components, focusing on content display and action control.",736.0,736.0,13.0,https://www.npmjs.com/package/teaset,1000.0,1000.0,23,True,3,MIT,,
21,react-native-graph,margelo/react-native-graph,chart-components,react-native-graph,https://github.com/margelo/react-native-graph,https://github.com/margelo/react-native-graph,2022-04-29 12:40:18,2024-03-28 14:39:58,2024-03-21 14:15:34,87.0,3.0,95.0,15.0,35.0,28.0,36.0,1844.0,2024-03-12 12:21:35,1.1.0,6.0,"Beautiful, high-performance Graphs and Charts for React Native built with Skia.",172.0,172.0,13.0,https://www.npmjs.com/package/react-native-graph,6115.0,6115.0,22,True,2,MIT,,
22,react-native-pathjs-charts,capitalone/react-native-pathjs-charts,chart-components,react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,2016-07-29 19:43:20,2018-03-01 15:28:09,2018-03-01 15:28:09,128.0,,251.0,35.0,74.0,72.0,87.0,880.0,2018-02-19 01:42:23,0.0.34,14.0,Android and iOS charts based on react-native-svg and paths-js.,680.0,680.0,27.0,https://www.npmjs.com/package/react-native-pathjs-charts,211.0,211.0,22,False,2,Apache-2.0,,
23,react-native-echarts,wuba/react-native-echarts,chart-components,@wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,2023-01-09 06:12:24,2024-04-11 13:25:40,2024-04-11 13:25:35,122.0,16.0,22.0,19.0,83.0,15.0,58.0,641.0,2024-02-21 07:17:07,1.3.0,15.0,"React Native ECharts Library: An awesome charting library for React Native, built upon Apache ECharts and leveraging..",,,13.0,https://www.npmjs.com/package/@wuba/react-native-echarts,17695.0,17695.0,20,True,3,Apache-2.0,,
24,Nachos UI,nachos-ui/nachos-ui,ui-frameworks,nachos-ui,https://github.com/nachos-ui/nachos-ui,https://github.com/nachos-ui/nachos-ui,2017-01-30 14:22:09,2021-03-12 10:42:57,2018-08-15 19:47:46,58.0,,119.0,34.0,14.0,13.0,34.0,2068.0,,,,Nachos UI is a React Native component library.,344.0,344.0,10.0,https://www.npmjs.com/package/nachos-ui,172.0,172.0,19,False,3,MIT,,
25,Material Kit React Native,creativetimofficial/material-kit-react-native,templates,material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,2019-01-09 12:35:13,2024-04-04 15:45:10,2023-08-14 11:30:34,67.0,,800.0,18.0,10.0,3.0,26.0,570.0,2023-08-14 11:31:19,1.10.0,9.0,Material Kit React Native.,,,9.0,https://www.npmjs.com/package/material-kit-react-native,,,15,True,1,MIT,,
26,react-native-highcharts,TradingPal/react-native-highcharts,chart-components,react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,2016-11-18 17:56:58,2022-03-23 08:45:14,2017-12-01 22:33:30,74.0,,127.0,9.0,32.0,59.0,40.0,255.0,,,,Add Highcharts charts to react-native app for IOS and Android.,279.0,279.0,5.0,https://www.npmjs.com/package/react-native-highcharts,506.0,506.0,15,False,3,,,
