,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads
0,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2023-08-31 10:54:36,2023-08-22 19:52:45,1989.0,68.0,1918.0,115.0,1785.0,86.0,2096.0,11178.0,2023-08-21 19:24:49,5.10.3,100.0,Material Design for React Native (Android & iOS).,139369.0,139369.0,306.0,https://www.npmjs.com/package/react-native-paper,623235.0,623235.0,42,True,1,,
1,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2023-08-31 17:44:13,2023-08-31 17:15:35,19093.0,862.0,4113.0,282.0,11799.0,327.0,11538.0,23079.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",740841.0,740841.0,1169.0,,,,41,True,1,1.0,
2,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2023-08-31 06:30:05,2023-04-23 13:51:31,1474.0,,4569.0,219.0,1157.0,63.0,3440.0,14288.0,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,159548.0,159548.0,478.0,https://www.npmjs.com/package/react-native-maps,869613.0,869613.0,41,True,1,,
3,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2023-08-31 13:24:41,2023-08-19 13:59:03,2639.0,8.0,4733.0,322.0,1715.0,648.0,8522.0,22691.0,2023-06-22 13:20:45,react-native-tab-view@3.5.2,100.0,Routing and navigation for your React Native apps.,749982.0,749982.0,253.0,https://www.npmjs.com/package/@react-navigation/native,3255214.0,3255214.0,40,True,1,,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2023-08-17 11:56:05,2023-07-20 08:34:21,604.0,19.0,2051.0,211.0,359.0,152.0,1034.0,16866.0,2023-07-17 13:34:46,10.0.0,65.0,Customizable Icons for React Native with support for image source and full styling.,496257.0,496257.0,135.0,https://www.npmjs.com/package/react-native-vector-icons,1687950.0,1687950.0,40,True,1,,
5,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2023-08-30 09:10:51,2023-08-30 09:10:51,1394.0,22.0,3249.0,193.0,864.0,122.0,1448.0,12651.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,24343.0,24343.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,138559.0,138559.0,40,True,1,,12.0
6,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2023-08-31 02:14:42,2023-08-24 09:16:12,754.0,39.0,1688.0,236.0,336.0,29.0,720.0,16063.0,2023-08-16 16:01:27,6.2.0,29.0,Lottie wrapper for React Native.,104543.0,104543.0,136.0,https://www.npmjs.com/package/lottie-react-native,1207125.0,1207125.0,39,True,1,,
7,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2023-08-29 04:58:34,2023-07-28 19:22:57,2400.0,11.0,4450.0,375.0,1623.0,74.0,1991.0,23931.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,4.0,4.0,400.0,https://www.npmjs.com/package/react-native-elements,496688.0,496688.0,35,True,2,-7.0,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2023-08-30 15:54:49,2023-08-30 07:20:06,3931.0,93.0,649.0,337.0,2008.0,46.0,539.0,5629.0,2023-08-30 09:00:20,7.8.0,100.0,UI Components Library for React Native.,3233.0,3233.0,138.0,https://www.npmjs.com/package/react-native-ui-lib,173666.0,173666.0,35,True,2,,
9,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,,2015-07-02 22:36:50,2023-08-29 15:06:26,2023-06-13 00:08:24,8433.0,2.0,488.0,130.0,777.0,270.0,1491.0,10477.0,2022-08-04 17:11:19,36.6.0,95.0,A collection of composable React components for building interactive data visualizations.,20988.0,20988.0,222.0,https://www.npmjs.com/package/victory-native,291596.0,291596.0,34,True,1,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,MIT,2016-04-15 11:37:23,2023-08-04 14:18:44,2023-08-04 14:18:44,6324.0,2.0,2279.0,271.0,2255.0,252.0,3160.0,19639.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",2.0,2.0,299.0,https://www.npmjs.com/package/native-base,353433.0,353433.0,31,True,2,,
11,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,MIT,2016-12-20 08:22:38,2023-08-31 14:43:19,2023-06-12 07:53:24,841.0,2.0,905.0,126.0,570.0,126.0,1016.0,9790.0,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,11159.0,11159.0,62.0,https://www.npmjs.com/package/react-native-ui-kitten,1176.0,1176.0,30,True,3,-1.0,
12,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,MIT,2017-10-30 09:28:29,2023-05-17 10:28:38,2020-04-14 18:49:24,386.0,,355.0,15.0,151.0,177.0,275.0,2267.0,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,6628.0,6628.0,39.0,https://www.npmjs.com/package/react-native-svg-charts,141705.0,141705.0,29,True,1,,
13,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,MIT,2016-02-10 16:06:07,2023-08-23 20:12:14,2023-08-08 02:50:12,2442.0,16.0,1258.0,242.0,1037.0,30.0,1244.0,15647.0,2023-08-08 02:50:17,8.8.7,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",2.0,2.0,198.0,,,,28,True,3,,
14,react-native-chart-kit,indiespirit/react-native-chart-kit,chart-components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,MIT,2017-12-20 02:30:08,2023-06-12 13:43:45,2022-02-08 04:03:57,336.0,,591.0,13.0,176.0,375.0,150.0,2590.0,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",13833.0,13833.0,102.0,https://www.npmjs.com/package/react-native-chart-kit,170300.0,170300.0,28,True,2,,
