,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads
0,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2023-08-01 23:08:11,2023-07-28 19:22:57,2400,11.0,4452,375,1620,74,1988,23884,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,238416.0,238416.0,400,https://www.npmjs.com/package/react-native-elements,507074.0,507074.0,42,True,1,2.0,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2023-08-16 19:49:08,2023-08-09 21:46:26,1977,61.0,1914,116,1778,84,2087,11121,2023-08-09 18:47:10,5.10.1,100.0,Material Design for React Native (Android & iOS).,135289.0,135289.0,304,https://www.npmjs.com/package/react-native-paper,633539.0,633539.0,42,True,1,,
2,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2023-08-10 10:11:00,2023-04-23 13:51:31,1474,,4568,219,1152,60,3432,14259,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,158754.0,158754.0,478,https://www.npmjs.com/package/react-native-maps,852041.0,852041.0,41,True,1,,
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2023-08-17 15:54:00,2023-08-17 13:21:49,18991,840.0,4084,279,11679,333,11453,22813,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",732469.0,732469.0,1163,,,,40,True,1,,
4,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2023-08-17 10:12:06,2023-08-01 09:05:17,2638,11.0,4728,323,1708,638,8515,22654,2023-06-22 13:20:45,react-native-tab-view@3.5.2,100.0,Routing and navigation for your React Native apps.,317625.0,317625.0,253,https://www.npmjs.com/package/@react-navigation/native,3245037.0,3245037.0,40,True,1,-1.0,
5,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2023-08-17 11:56:05,2023-07-20 08:34:21,604,20.0,2048,211,359,150,1034,16844,2023-07-17 13:34:46,10.0.0,65.0,Customizable Icons for React Native with support for image source and full styling.,490461.0,490461.0,135,https://www.npmjs.com/package/react-native-vector-icons,1702433.0,1702433.0,40,True,1,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2023-08-07 21:01:49,2023-08-04 12:02:57,1391,21.0,3248,193,863,120,1447,12635,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,24174.0,24174.0,217,https://www.npmjs.com/package/react-native-gifted-chat,136415.0,136415.0,40,True,1,,12.0
7,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2023-08-16 15:59:49,2023-08-16 15:59:38,753,39.0,1688,236,332,27,719,16038,2023-08-16 16:01:27,6.2.0,29.0,Lottie wrapper for React Native.,104059.0,104059.0,136,https://www.npmjs.com/package/lottie-react-native,1171850.0,1171850.0,39,True,2,,
8,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,,2015-07-02 22:36:50,2023-07-06 17:58:43,2023-06-13 00:08:24,8433,4.0,487,130,776,266,1491,10457,2022-08-04 17:11:19,36.6.0,95.0,A collection of composable React components for building interactive data visualizations.,20774.0,20774.0,221,https://www.npmjs.com/package/victory-native,286244.0,286244.0,35,True,1,,
9,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2023-08-17 13:39:58,2023-08-17 13:39:54,3926,100.0,649,337,1999,45,538,5595,2023-08-16 05:01:12,7.7.0,100.0,UI Components Library for React Native.,3184.0,3184.0,137,https://www.npmjs.com/package/react-native-ui-lib,165022.0,165022.0,35,True,2,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,MIT,2016-04-15 11:37:23,2023-08-04 14:18:44,2023-08-04 14:18:44,6324,2.0,2283,271,2255,252,3158,19609,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",2.0,2.0,299,https://www.npmjs.com/package/native-base,354390.0,354390.0,31,True,2,-1.0,
