,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads
0,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2023-09-04 15:10:46,2023-09-04 14:36:15,1992.0,71.0,1920.0,116.0,1788.0,84.0,2103.0,11206.0,2023-09-04 14:37:16,5.10.4,100.0,Material Design for React Native (Android & iOS).,141218.0,141218.0,307.0,https://www.npmjs.com/package/react-native-paper,614704.0,614704.0,42,True,1,,
1,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2023-09-07 16:56:25,2023-09-07 16:47:58,19151.0,885.0,4120.0,281.0,11861.0,337.0,11573.0,23198.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",744991.0,744991.0,1177.0,,,,41,True,1,,
2,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2023-09-07 10:25:29,2023-09-07 10:25:12,2655.0,24.0,4734.0,322.0,1719.0,650.0,8525.0,22709.0,2023-06-22 13:20:45,react-native-tab-view@3.5.2,100.0,Routing and navigation for your React Native apps.,754694.0,754694.0,260.0,https://www.npmjs.com/package/@react-navigation/native,3248654.0,3248654.0,41,True,1,1.0,
3,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2023-08-31 06:30:05,2023-04-23 13:51:31,1474.0,,4570.0,219.0,1157.0,65.0,3440.0,14304.0,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,159927.0,159927.0,478.0,https://www.npmjs.com/package/react-native-maps,860839.0,860839.0,41,True,1,,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2023-09-07 11:47:26,2023-07-20 08:34:21,604.0,19.0,2051.0,211.0,361.0,152.0,1034.0,16880.0,2023-07-17 13:34:46,10.0.0,65.0,Customizable Icons for React Native with support for image source and full styling.,498932.0,498932.0,135.0,https://www.npmjs.com/package/react-native-vector-icons,1683765.0,1683765.0,40,True,1,,
5,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2023-08-30 09:10:51,2023-08-30 09:10:51,1394.0,15.0,3248.0,193.0,864.0,122.0,1448.0,12665.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,24438.0,24438.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,139926.0,139926.0,40,True,1,,12.0
6,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2023-09-04 13:59:48,2023-09-04 13:29:08,756.0,41.0,1689.0,235.0,337.0,30.0,721.0,16083.0,2023-08-16 16:01:27,6.2.0,29.0,Lottie wrapper for React Native.,104761.0,104761.0,137.0,https://www.npmjs.com/package/lottie-react-native,1199919.0,1199919.0,39,True,1,,
7,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2023-09-07 15:46:22,2023-09-07 15:46:21,3933.0,89.0,650.0,337.0,2012.0,49.0,539.0,5647.0,2023-08-30 09:00:20,7.8.0,100.0,UI Components Library for React Native.,3256.0,3256.0,138.0,https://www.npmjs.com/package/react-native-ui-lib,181428.0,181428.0,35,True,2,,
8,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2023-09-07 05:38:50,2023-07-28 19:22:57,2400.0,5.0,4454.0,374.0,1623.0,75.0,1991.0,23952.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,4.0,4.0,400.0,https://www.npmjs.com/package/react-native-elements,498053.0,498053.0,34,True,2,-1.0,
9,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,,2015-07-02 22:36:50,2023-08-29 15:06:26,2023-06-13 00:08:24,8433.0,2.0,488.0,129.0,777.0,270.0,1491.0,10487.0,2022-08-04 17:11:19,36.6.0,95.0,A collection of composable React components for building interactive data visualizations.,21063.0,21063.0,222.0,https://www.npmjs.com/package/victory-native,290302.0,290302.0,34,True,1,,
