,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-03-20 23:33:54,2024-03-20 23:33:40,2797.0,84.0,4798.0,321.0,1809.0,692.0,8651.0,23170.0,2024-03-18 18:16:56,@react-navigation/core@6.4.16,100.0,Routing and navigation for your React Native apps.,891108.0,891108.0,281.0,https://www.npmjs.com/package/@react-navigation/native,4467223.0,4467223.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-03-17 19:43:10,2024-03-11 17:25:07,1528.0,32.0,4583.0,215.0,1198.0,66.0,3538.0,14683.0,2024-03-11 17:25:18,1.11.3,100.0,React Native Mapview component for iOS + Android.,171849.0,171849.0,493.0,https://www.npmjs.com/package/react-native-maps,1226144.0,1226144.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-03-21 17:43:45,2024-03-21 17:40:29,21217.0,888.0,4506.0,285.0,13894.0,416.0,12818.0,28324.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",874816.0,874816.0,1306.0,,,,41,True,1,MIT,,
3,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-03-03 23:47:26,2024-01-24 19:35:12,2079.0,38.0,2001.0,119.0,1866.0,153.0,2232.0,12108.0,2024-01-24 19:36:21,5.12.3,100.0,Material Design for React Native (Android & iOS).,185182.0,185182.0,325.0,https://www.npmjs.com/package/react-native-paper,996134.0,996134.0,41,True,1,MIT,,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-03-18 09:43:29,2023-12-14 08:26:32,618.0,,2065.0,206.0,388.0,156.0,1058.0,17165.0,2023-12-14 08:27:16,10.0.3,68.0,Customizable Icons for React Native with support for image source and full styling.,570656.0,570656.0,144.0,https://www.npmjs.com/package/react-native-vector-icons,2042172.0,2042172.0,39,True,1,MIT,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-03-19 04:24:06,2024-03-17 18:43:25,801.0,29.0,1713.0,232.0,380.0,25.0,786.0,16442.0,2024-03-03 20:57:01,6.7.0,38.0,Lottie wrapper for React Native.,111935.0,111935.0,145.0,https://www.npmjs.com/package/lottie-react-native,1632323.0,1632323.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-03-14 14:41:45,2023-10-11 12:47:32,1397.0,,3269.0,194.0,872.0,152.0,1458.0,13098.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,26907.0,26907.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,169908.0,169908.0,38,True,1,MIT,13.0,
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-03-20 08:54:28,2024-03-19 20:50:22,8550.0,105.0,503.0,121.0,895.0,102.0,1723.0,10745.0,2024-03-18 13:44:23,37.0.0,100.0,A collection of composable React components for building interactive data visualizations.,23540.0,23540.0,235.0,https://www.npmjs.com/package/victory-native,364657.0,364657.0,38,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-03-21 09:46:38,2024-03-21 08:57:54,4098.0,85.0,672.0,326.0,2203.0,68.0,570.0,6067.0,2024-03-13 09:56:00,7.18.0,100.0,UI Components Library for React Native.,3807.0,3807.0,146.0,https://www.npmjs.com/package/react-native-ui-lib,307810.0,307810.0,35,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-03-03 07:55:01,2024-02-04 03:55:07,2427.0,17.0,4536.0,371.0,1641.0,90.0,2002.0,24504.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,590067.0,590067.0,34,True,2,MIT,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15 11:37:23,2024-01-29 05:41:10,2023-08-04 14:18:44,6324.0,,2296.0,269.0,2261.0,266.0,3161.0,19971.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",3.0,3.0,299.0,https://www.npmjs.com/package/native-base,289748.0,289748.0,32,True,2,MIT,,
11,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,2016-02-10 16:06:07,2024-03-21 03:03:24,2024-03-18 16:29:15,2549.0,47.0,1318.0,243.0,1128.0,23.0,1300.0,16485.0,2024-02-28 02:54:01,9.6.2,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",3.0,3.0,214.0,,,,30,True,3,MIT,,
12,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,2016-12-20 08:22:38,2024-02-07 22:48:40,2024-01-05 12:22:19,842.0,1.0,928.0,127.0,574.0,149.0,1021.0,10060.0,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,11192.0,11192.0,63.0,https://www.npmjs.com/package/react-native-ui-kitten,1234.0,1234.0,29,True,3,MIT,,
13,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,2016-08-08 15:26:08,2024-03-21 13:25:16,2024-03-21 13:24:35,1298.0,24.0,438.0,92.0,498.0,103.0,216.0,4872.0,2023-01-10 14:17:30,6.1.2,84.0,Customizable set of components for React Native applications.,1425.0,1425.0,56.0,https://www.npmjs.com/package/@shoutem/ui,12747.0,12747.0,29,True,3,,37.0,
14,react-native-chart-kit,indiespirit/react-native-chart-kit,chart-components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,2017-12-20 02:30:08,2024-01-23 14:31:15,2022-02-08 04:03:57,336.0,,613.0,13.0,178.0,392.0,155.0,2731.0,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",17235.0,17235.0,102.0,https://www.npmjs.com/package/react-native-chart-kit,211571.0,211571.0,29,True,1,MIT,,1.0
15,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,2017-10-30 09:28:29,2023-05-17 10:28:38,2020-04-14 18:49:24,386.0,,367.0,14.0,151.0,181.0,275.0,2308.0,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,7263.0,7263.0,39.0,https://www.npmjs.com/package/react-native-svg-charts,235916.0,235916.0,29,True,1,MIT,,
16,react-native-charts-wrapper,wuxudong/react-native-charts-wrapper,chart-components,react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,2017-03-03 07:58:57,2024-02-22 02:25:33,2024-02-05 04:47:54,341.0,2.0,605.0,51.0,123.0,187.0,676.0,2390.0,2023-10-28 07:08:16,0.6.0,35.0,a react native charts wrapper (support android & iOS).,1434.0,1434.0,58.0,https://www.npmjs.com/package/react-native-charts-wrapper,60370.0,60370.0,28,True,2,,,
17,RNMK,xinthink/react-native-material-kit,ui-frameworks,react-native-material-kit,https://github.com/xinthink/react-native-material-kit,https://github.com/xinthink/react-native-material-kit,2015-07-01 12:33:24,2023-01-04 06:15:00,2020-03-08 04:28:42,496.0,,557.0,101.0,163.0,150.0,156.0,4840.0,2016-12-18 05:14:29,0.3.4,15.0,Bringing Material Design to React Native.,1572.0,1572.0,76.0,https://www.npmjs.com/package/react-native-material-kit,827.0,827.0,26,True,3,MIT,,
18,React Native Material UI,xotahal/react-native-material-ui,ui-frameworks,react-native-material-ui,https://github.com/xotahal/react-native-material-ui,https://github.com/xotahal/react-native-material-ui,2016-03-24 15:40:53,2023-04-19 08:31:36,2019-04-19 21:39:12,524.0,,590.0,88.0,205.0,169.0,145.0,3783.0,2019-04-20 05:02:31,2.0.0-alpha.1@deelop,20.0,Highly customizable material design components for React Native.,2978.0,2978.0,71.0,https://www.npmjs.com/package/react-native-material-ui,3580.0,3580.0,25,True,3,MIT,,
19,Galio,galio-org/galio,ui-frameworks,galio,https://github.com/galio-org/galio,https://github.com/galio-org/galio,2018-06-17 16:14:11,2023-04-20 22:58:40,2022-03-30 11:06:58,419.0,,315.0,55.0,131.0,42.0,85.0,3097.0,2022-03-30 11:08:29,0.8.1,11.0,"Galio is a beautifully designed, Free and Open Source React Native Framework.",2856.0,2856.0,37.0,https://www.npmjs.com/package/galio,,,23,True,3,MIT,,
20,Teaset,rilyu/teaset,ui-frameworks,teaset,https://github.com/rilyu/teaset,https://github.com/rilyu/teaset,2016-12-07 03:48:10,2021-05-29 08:52:27,2020-10-23 07:45:44,144.0,,464.0,70.0,29.0,189.0,245.0,2936.0,2020-04-01 09:07:17,0.7.4,20.0,"A UI library for react native, provides 20+ pure JS(ES6) components, focusing on content display and action control.",736.0,736.0,13.0,https://www.npmjs.com/package/teaset,695.0,695.0,23,True,3,MIT,,
21,react-native-graph,margelo/react-native-graph,chart-components,react-native-graph,https://github.com/margelo/react-native-graph,https://github.com/margelo/react-native-graph,2022-04-29 12:40:18,2024-03-21 14:15:35,2024-03-21 14:15:34,87.0,3.0,92.0,15.0,35.0,28.0,36.0,1803.0,2024-03-12 12:21:35,1.1.0,6.0,"Beautiful, high-performance Graphs and Charts for React Native built with Skia.",163.0,163.0,13.0,https://www.npmjs.com/package/react-native-graph,6282.0,6282.0,22,True,2,MIT,,1.0
22,react-native-pathjs-charts,capitalone/react-native-pathjs-charts,chart-components,react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,2016-07-29 19:43:20,2018-03-01 15:28:09,2018-03-01 15:28:09,128.0,,251.0,35.0,74.0,72.0,87.0,880.0,2018-02-19 01:42:23,0.0.34,14.0,Android and iOS charts based on react-native-svg and paths-js.,679.0,679.0,27.0,https://www.npmjs.com/package/react-native-pathjs-charts,277.0,277.0,22,False,2,Apache-2.0,,
23,react-native-echarts,wuba/react-native-echarts,chart-components,@wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,2023-01-09 06:12:24,2024-03-17 01:54:17,2024-03-17 01:54:10,120.0,15.0,22.0,18.0,80.0,15.0,57.0,623.0,2024-02-21 07:17:07,1.3.0,15.0,"React Native ECharts Library: An awesome charting library for React Native, built upon Apache ECharts and leveraging..",,,13.0,https://www.npmjs.com/package/@wuba/react-native-echarts,19357.0,19357.0,20,True,3,Apache-2.0,,
24,Nachos UI,nachos-ui/nachos-ui,ui-frameworks,nachos-ui,https://github.com/nachos-ui/nachos-ui,https://github.com/nachos-ui/nachos-ui,2017-01-30 14:22:09,2021-03-12 10:42:57,2018-08-15 19:47:46,58.0,,120.0,34.0,14.0,13.0,34.0,2066.0,,,,Nachos UI is a React Native component library.,344.0,344.0,10.0,https://www.npmjs.com/package/nachos-ui,271.0,271.0,19,False,3,MIT,,
25,react-native-highcharts,TradingPal/react-native-highcharts,chart-components,react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,2016-11-18 17:56:58,2022-03-23 08:45:14,2017-12-01 22:33:30,74.0,,127.0,9.0,32.0,59.0,40.0,255.0,,,,Add Highcharts charts to react-native app for IOS and Android.,278.0,278.0,5.0,https://www.npmjs.com/package/react-native-highcharts,484.0,484.0,15,False,3,,,
26,react-native-animated-charts,rainbow-me/react-native-animated-charts,chart-components,@rainbow-me/animated-charts,https://github.com/rainbow-me/react-native-animated-charts,https://github.com/rainbow-me/react-native-animated-charts,2020-09-14 19:18:48,2022-10-02 23:16:37,2021-10-25 17:08:17,19.0,,97.0,15.0,14.0,57.0,26.0,899.0,,,6.0,Set of components and helpers for building complex and beautifully animated charts.,5.0,5.0,5.0,https://www.npmjs.com/package/@rainbow-me/animated-charts,680.0,680.0,14,True,3,MIT,,
27,Material Kit React Native,creativetimofficial/material-kit-react-native,templates,material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,2019-01-09 12:35:13,2023-08-14 11:31:19,2023-08-14 11:30:34,67.0,,785.0,18.0,9.0,3.0,26.0,568.0,2023-08-14 11:31:19,1.10.0,9.0,Material Kit React Native.,,,9.0,https://www.npmjs.com/package/material-kit-react-native,,,14,True,1,MIT,,
