,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads
0,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2023-07-19 12:59:12,2023-07-11 21:38:42,1956,61.0,1907,117,1761,85,2065,11003,2023-07-04 12:41:20,5.9.1,100.0,Material Design for React Native (Android & iOS).,128387.0,128387.0,301,https://www.npmjs.com/package/react-native-paper,601734.0,601734.0,42,True,1,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2023-07-19 04:28:04,2023-04-23 13:51:31,1474,5.0,4568,220,1151,46,3428,14206,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,157142.0,157142.0,478,https://www.npmjs.com/package/react-native-maps,811130.0,811130.0,41,True,1,-2.0,
2,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2023-07-18 21:59:18,2023-06-15 18:23:37,1389,48.0,3240,194,863,115,1446,12568,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,23812.0,23812.0,216,https://www.npmjs.com/package/react-native-gifted-chat,152831.0,152831.0,41,True,1,,12.0
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2023-07-20 15:09:03,2023-07-20 15:09:03,18800,838.0,4027,277,11500,321,11308,21928,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",717211.0,717211.0,1139,,,,40,True,1,1.0,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2023-07-20 08:35:31,2023-07-20 08:34:21,604,20.0,2039,212,355,373,797,16793,2023-07-17 13:34:46,10.0.0,65.0,Customizable Icons for React Native with support for image source and full styling.,479418.0,479418.0,135,https://www.npmjs.com/package/react-native-vector-icons,1549644.0,1549644.0,40,True,1,3.0,
5,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2023-07-20 09:07:35,2023-07-03 18:13:36,2635,8.0,4715,324,1696,637,8479,22581,2023-06-22 13:20:45,react-native-tab-view@3.5.2,100.0,Routing and navigation for your React Native apps.,230522.0,230522.0,252,https://www.npmjs.com/package/@react-navigation/native,3203032.0,3203032.0,39,True,1,,
6,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2023-07-14 12:27:03,2023-06-18 16:19:17,2399,11.0,4436,377,1617,68,1987,23802,2022-12-23 20:15:46,3.4.3,84.0,Cross-Platform React Native UI Toolkit.,10596.0,10596.0,400,https://www.npmjs.com/package/react-native-elements,417939.0,417939.0,38,True,1,,
7,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2023-07-19 20:27:41,2023-06-22 16:32:25,718,6.0,1685,237,309,37,691,15988,2023-05-14 18:09:46,5.1.6,22.0,Lottie wrapper for React Native.,103193.0,103193.0,132,https://www.npmjs.com/package/lottie-react-native,1199840.0,1199840.0,38,True,1,,
8,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,,2015-07-02 22:36:50,2023-07-06 17:58:43,2023-06-13 00:08:24,8433,9.0,487,130,776,261,1491,10416,2022-08-04 17:11:19,36.6.0,95.0,A collection of composable React components for building interactive data visualizations.,20355.0,20355.0,220,https://www.npmjs.com/package/victory-native,284516.0,284516.0,35,True,1,,
9,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2023-07-20 12:12:49,2023-07-20 07:28:01,3886,81.0,648,334,1972,46,529,5533,2023-07-20 08:18:22,7.6.0,100.0,UI Components Library for React Native.,3121.0,3121.0,136,https://www.npmjs.com/package/react-native-ui-lib,96540.0,96540.0,35,True,2,,
