,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-01-25 06:37:31,2024-01-23 14:07:48,2727.0,50.0,4792.0,322.0,1780.0,681.0,8612.0,23055.0,2023-11-03 14:58:32,@react-navigation/native-stack@6.9.17,100.0,Routing and navigation for your React Native apps.,853516.0,853516.0,268.0,https://www.npmjs.com/package/@react-navigation/native,2889848.0,2889848.0,42,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-01-22 21:52:13,2024-01-21 17:20:26,1509.0,26.0,4584.0,218.0,1183.0,59.0,3510.0,14573.0,2024-01-21 11:30:17,1.10.0,100.0,React Native Mapview component for iOS + Android.,168401.0,168401.0,487.0,https://www.npmjs.com/package/react-native-maps,808832.0,808832.0,42,True,1,MIT,,
2,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-01-24 19:36:15,2024-01-24 19:35:12,2079.0,55.0,1976.0,117.0,1856.0,122.0,2223.0,11839.0,2024-01-24 19:36:21,5.12.3,100.0,Material Design for React Native (Android & iOS).,175135.0,175135.0,325.0,https://www.npmjs.com/package/react-native-paper,666586.0,666586.0,42,True,1,MIT,,
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-01-25 17:49:18,2024-01-25 17:35:28,20648.0,1064.0,4355.0,281.0,13272.0,385.0,12425.0,26221.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",835886.0,835886.0,1256.0,,,,41,True,1,MIT,,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-01-19 11:08:58,2023-12-14 08:26:32,618.0,8.0,2059.0,206.0,383.0,151.0,1056.0,17081.0,2023-12-14 08:27:16,10.0.3,68.0,Customizable Icons for React Native with support for image source and full styling.,553038.0,553038.0,144.0,https://www.npmjs.com/package/react-native-vector-icons,1488812.0,1488812.0,39,True,1,MIT,-1.0,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-01-24 13:22:52,2024-01-24 13:22:50,789.0,27.0,1706.0,234.0,366.0,19.0,767.0,16368.0,2024-01-04 15:12:40,6.5.1,35.0,Lottie wrapper for React Native.,109859.0,109859.0,142.0,https://www.npmjs.com/package/lottie-react-native,1081810.0,1081810.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-01-17 02:23:02,2023-10-11 12:47:32,1397.0,,3266.0,192.0,870.0,144.0,1453.0,12942.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,26222.0,26222.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,120039.0,120039.0,38,True,1,MIT,,12.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-01-25 16:11:16,2024-01-25 16:06:49,8484.0,47.0,502.0,121.0,835.0,269.0,1527.0,10673.0,2024-01-16 18:41:44,36.8.2,99.0,A collection of composable React components for building interactive data visualizations.,22875.0,22875.0,233.0,https://www.npmjs.com/package/victory-native,276686.0,276686.0,38,True,1,,1.0,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-01-25 16:19:33,2024-01-25 16:19:32,4046.0,92.0,667.0,328.0,2140.0,60.0,568.0,5955.0,2024-01-17 09:47:15,7.15.0,100.0,UI Components Library for React Native.,3663.0,3663.0,147.0,https://www.npmjs.com/package/react-native-ui-lib,236135.0,236135.0,35,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-01-21 07:01:52,2024-01-21 07:01:51,2424.0,18.0,4521.0,371.0,1639.0,82.0,2003.0,24359.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,410.0,https://www.npmjs.com/package/react-native-elements,437001.0,437001.0,33,True,2,MIT,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15 11:37:23,2024-01-25 14:23:10,2023-08-04 14:18:44,6324.0,,2292.0,270.0,2260.0,260.0,3161.0,19873.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",3.0,3.0,299.0,https://www.npmjs.com/package/native-base,229996.0,229996.0,32,True,2,MIT,,
11,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,2016-02-10 16:06:07,2024-01-25 15:52:55,2024-01-23 15:56:17,2514.0,58.0,1305.0,241.0,1102.0,21.0,1290.0,16235.0,2024-01-23 15:56:22,9.4.1,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",3.0,3.0,209.0,,,,30,True,3,MIT,,
12,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,2016-08-08 15:26:08,2024-01-04 10:44:43,2024-01-04 10:40:00,1276.0,20.0,439.0,93.0,486.0,103.0,216.0,4864.0,2023-01-10 14:17:30,6.1.2,84.0,Customizable set of components for React Native applications.,1421.0,1421.0,56.0,https://www.npmjs.com/package/@shoutem/ui,10159.0,10159.0,29,True,3,,,37.0
13,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,2017-10-30 09:28:29,2023-05-17 10:28:38,2020-04-14 18:49:24,386.0,,364.0,14.0,151.0,181.0,275.0,2302.0,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,7089.0,7089.0,39.0,https://www.npmjs.com/package/react-native-svg-charts,149605.0,149605.0,29,True,1,MIT,,
14,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,2016-12-20 08:22:38,2024-01-05 12:22:19,2024-01-05 12:22:19,842.0,1.0,923.0,125.0,574.0,143.0,1020.0,9989.0,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,11182.0,11182.0,62.0,https://www.npmjs.com/package/react-native-ui-kitten,858.0,858.0,28,True,3,MIT,,
15,react-native-chart-kit,indiespirit/react-native-chart-kit,chart-components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,2017-12-20 02:30:08,2024-01-23 14:31:15,2022-02-08 04:03:57,336.0,,603.0,13.0,178.0,390.0,154.0,2697.0,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",16293.0,16293.0,102.0,https://www.npmjs.com/package/react-native-chart-kit,140474.0,140474.0,28,True,2,MIT,,
16,react-native-charts-wrapper,wuxudong/react-native-charts-wrapper,chart-components,react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,2017-03-03 07:58:57,2024-01-19 08:22:35,2023-10-28 07:06:16,339.0,7.0,603.0,51.0,121.0,187.0,676.0,2380.0,2023-10-28 07:08:16,0.6.0,35.0,a react native charts wrapper (support android & iOS).,1377.0,1377.0,56.0,https://www.npmjs.com/package/react-native-charts-wrapper,58759.0,58759.0,28,True,2,,,
17,RNMK,xinthink/react-native-material-kit,ui-frameworks,react-native-material-kit,https://github.com/xinthink/react-native-material-kit,https://github.com/xinthink/react-native-material-kit,2015-07-01 12:33:24,2023-01-04 06:15:00,2020-03-08 04:28:42,496.0,,558.0,101.0,163.0,150.0,156.0,4842.0,2016-12-18 05:14:29,0.3.4,15.0,Bringing Material Design to React Native.,1568.0,1568.0,76.0,https://www.npmjs.com/package/react-native-material-kit,717.0,717.0,26,True,3,MIT,,
18,React Native Material UI,xotahal/react-native-material-ui,ui-frameworks,react-native-material-ui,https://github.com/xotahal/react-native-material-ui,https://github.com/xotahal/react-native-material-ui,2016-03-24 15:40:53,2023-04-19 08:31:36,2019-04-19 21:39:12,524.0,,592.0,90.0,205.0,169.0,145.0,3784.0,2019-04-20 05:02:31,2.0.0-alpha.1@deelop,20.0,Highly customizable material design components for React Native.,2962.0,2962.0,71.0,https://www.npmjs.com/package/react-native-material-ui,2546.0,2546.0,25,True,3,MIT,,
