,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-05-09 16:59:24,2024-05-09 13:38:59,2819.0,86.0,4803.0,320.0,1821.0,701.0,8678.0,23283.0,2024-03-18 18:16:56,@react-navigation/core@6.4.16,100.0,Routing and navigation for your React Native apps.,923991.0,923991.0,281.0,https://www.npmjs.com/package/@react-navigation/native,3904512.0,3904512.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-05-08 10:04:15,2024-05-06 08:43:44,1557.0,45.0,4588.0,215.0,1211.0,53.0,3566.0,14779.0,2024-05-05 19:58:43,1.15.1,100.0,React Native Mapview component for iOS + Android.,174963.0,174963.0,495.0,https://www.npmjs.com/package/react-native-maps,1045933.0,1045933.0,43,True,1,MIT,1.0,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-05-09 17:59:25,2024-05-09 17:59:23,21929.0,1128.0,4624.0,285.0,14505.0,380.0,13136.0,29336.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",909974.0,909974.0,1343.0,,,,41,True,1,MIT,,
3,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-05-03 07:55:19,2024-05-01 12:01:05,626.0,8.0,2071.0,206.0,391.0,159.0,1062.0,17235.0,2024-05-01 12:01:37,10.1.0,69.0,Customizable Icons for React Native with support for image source and full styling.,584472.0,584472.0,148.0,https://www.npmjs.com/package/react-native-vector-icons,1943953.0,1943953.0,39,True,1,MIT,,
4,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-05-04 07:26:04,2024-04-07 18:19:54,809.0,15.0,1709.0,232.0,389.0,25.0,796.0,16504.0,2024-04-07 13:55:57,6.7.2,40.0,Lottie wrapper for React Native.,113683.0,113683.0,145.0,https://www.npmjs.com/package/lottie-react-native,1411441.0,1411441.0,39,True,1,Apache-2.0,,
5,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-05-09 00:39:11,2024-05-04 07:01:36,2080.0,1.0,2004.0,119.0,1876.0,184.0,2238.0,12248.0,2024-01-24 19:36:21,5.12.3,100.0,Material Design for React Native (Android & iOS).,192531.0,192531.0,325.0,https://www.npmjs.com/package/react-native-paper,877949.0,877949.0,39,True,1,MIT,-2.0,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-04-11 13:30:37,2023-10-11 12:47:32,1397.0,,3275.0,195.0,875.0,160.0,1458.0,13231.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,27515.0,27515.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,144927.0,144927.0,38,True,1,MIT,,13.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-05-08 20:24:42,2024-04-04 19:34:16,8556.0,39.0,507.0,121.0,903.0,98.0,1744.0,10787.0,2024-04-04 19:02:58,37.0.2,100.0,A collection of composable React components for building interactive data visualizations.,24137.0,24137.0,235.0,https://www.npmjs.com/package/victory-native,381515.0,381515.0,37,True,1,,-1.0,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-05-09 13:06:39,2024-05-09 06:35:06,4152.0,90.0,677.0,326.0,2267.0,73.0,572.0,6170.0,2024-05-01 11:08:37,7.21.0,100.0,UI Components Library for React Native.,3954.0,3954.0,148.0,https://www.npmjs.com/package/react-native-ui-lib,285098.0,285098.0,36,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-05-01 22:24:47,2024-02-04 03:55:07,2427.0,,4545.0,368.0,1643.0,93.0,2003.0,24622.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,540315.0,540315.0,33,True,2,MIT,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15 11:37:23,2024-01-29 05:41:10,2023-08-04 14:18:44,6324.0,,2307.0,269.0,2261.0,267.0,3161.0,20030.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",3.0,3.0,299.0,https://www.npmjs.com/package/native-base,261527.0,261527.0,31,True,2,MIT,,
11,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,2017-10-30 09:28:29,2024-04-18 08:49:48,2020-04-14 18:49:24,386.0,,369.0,15.0,152.0,180.0,275.0,2315.0,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,7448.0,7448.0,39.0,https://www.npmjs.com/package/react-native-svg-charts,169397.0,169397.0,30,True,1,MIT,1.0,
12,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,2016-02-10 16:06:07,2024-05-09 15:48:51,2024-05-06 18:31:22,2556.0,22.0,1327.0,243.0,1138.0,29.0,1306.0,16695.0,2024-04-14 03:31:27,9.6.3,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",3.0,3.0,218.0,,,,29,True,3,MIT,-1.0,
13,react-native-chart-kit,indiespirit/react-native-chart-kit,chart-components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,2017-12-20 02:30:08,2024-04-17 13:58:08,2022-02-08 04:03:57,336.0,,619.0,13.0,180.0,396.0,155.0,2756.0,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",18272.0,18272.0,102.0,https://www.npmjs.com/package/react-native-chart-kit,184926.0,184926.0,29,True,2,MIT,1.0,
