,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-09-13 10:43:05,2024-09-10 12:41:34,2977.0,154.0,4840.0,316.0,1856.0,731.0,8752.0,23477.0,2024-07-25 16:17:39,@react-navigation/native-stack@6.11.0,100.0,Routing and navigation for your React Native apps.,1015394.0,1015394.0,292.0,https://www.npmjs.com/package/@react-navigation/native,4763214.0,4763214.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-09-17 05:56:30,2024-08-18 09:44:54,1587.0,17.0,4601.0,218.0,1246.0,60.0,3627.0,15052.0,2024-08-18 09:45:00,1.18.0,100.0,React Native Mapview component for iOS + Android.,182578.0,182578.0,503.0,https://www.npmjs.com/package/react-native-maps,1167007.0,1167007.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-09-19 17:40:44,2024-09-19 15:13:06,23321.0,925.0,5179.0,299.0,16046.0,418.0,13980.0,32858.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",1000868.0,1000868.0,1461.0,,,,41,True,1,MIT,,
3,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-09-15 18:06:46,2024-09-15 18:05:08,632.0,5.0,2069.0,204.0,405.0,137.0,1110.0,17393.0,2024-09-15 18:06:03,10.2.0,70.0,Customizable Icons for React Native with support for image source and full styling.,619013.0,619013.0,150.0,https://www.npmjs.com/package/react-native-vector-icons,2324708.0,2324708.0,41,True,1,MIT,,
4,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-09-16 05:41:07,2024-09-16 05:38:16,1469.0,61.0,3314.0,192.0,883.0,177.0,1473.0,13452.0,2024-09-16 05:41:08,2.6.3,74.0,The most complete chat UI for React Native.,29286.0,29286.0,223.0,https://www.npmjs.com/package/react-native-gifted-chat,182037.0,182037.0,41,True,1,MIT,14.0,
5,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-08-21 04:23:07,2024-07-28 18:33:36,2094.0,14.0,2050.0,123.0,1903.0,229.0,2258.0,12752.0,2024-07-28 18:34:09,5.12.5,100.0,Material Design for React Native (Android & iOS).,210691.0,210691.0,330.0,https://www.npmjs.com/package/react-native-paper,1087273.0,1087273.0,41,True,1,MIT,,
6,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-09-15 23:28:21,2024-09-15 20:14:17,823.0,12.0,1720.0,229.0,416.0,39.0,809.0,16675.0,2024-09-15 20:16:25,7.0.0,41.0,Lottie wrapper for React Native.,118354.0,118354.0,150.0,https://www.npmjs.com/package/lottie-react-native,1594847.0,1594847.0,40,True,1,Apache-2.0,,
7,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-09-19 11:53:26,2024-09-19 11:14:06,4300.0,94.0,693.0,323.0,2444.0,79.0,583.0,6448.0,2024-09-18 11:57:21,7.31.0,100.0,UI Components Library for React Native.,4276.0,4276.0,154.0,https://www.npmjs.com/package/react-native-ui-lib,354285.0,354285.0,37,True,2,MIT,,
8,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-09-17 15:06:55,2024-09-11 21:13:32,8567.0,7.0,512.0,120.0,918.0,81.0,1775.0,10961.0,2024-09-05 17:38:13,37.1.1,100.0,A collection of composable React components for building interactive data visualizations.,25378.0,25378.0,237.0,https://www.npmjs.com/package/victory-native,429885.0,429885.0,36,True,1,,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-05-01 22:24:47,2024-02-04 03:55:07,2427.0,,4571.0,369.0,1645.0,121.0,2003.0,24948.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,509252.0,509252.0,32,True,2,MIT,,
