,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-04-23 10:39:10,2024-04-09 10:08:16,2818.0,91.0,4801.0,320.0,1817.0,702.0,8670.0,23258.0,2024-03-18 18:16:56,@react-navigation/core@6.4.16,100.0,Routing and navigation for your React Native apps.,914724.0,914724.0,281.0,https://www.npmjs.com/package/@react-navigation/native,3848911.0,3848911.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-04-25 07:23:08,2024-04-14 14:03:35,1552.0,43.0,4585.0,215.0,1211.0,56.0,3559.0,14747.0,2024-04-14 14:03:42,1.14.0,100.0,React Native Mapview component for iOS + Android.,174104.0,174104.0,495.0,https://www.npmjs.com/package/react-native-maps,997741.0,997741.0,43,True,1,MIT,1.0,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-04-25 17:53:39,2024-04-25 16:31:34,21700.0,1032.0,4588.0,286.0,14345.0,396.0,13018.0,29043.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",900277.0,900277.0,1332.0,,,,41,True,1,MIT,,
3,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-04-20 23:58:13,2024-01-24 19:35:12,2079.0,,2001.0,120.0,1872.0,173.0,2235.0,12205.0,2024-01-24 19:36:21,5.12.3,100.0,Material Design for React Native (Android & iOS).,190478.0,190478.0,325.0,https://www.npmjs.com/package/react-native-paper,839334.0,839334.0,40,True,1,MIT,-1.0,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-04-24 08:20:27,2023-12-14 08:26:32,618.0,,2070.0,207.0,389.0,162.0,1058.0,17222.0,2023-12-14 08:27:16,10.0.3,68.0,Customizable Icons for React Native with support for image source and full styling.,580613.0,580613.0,144.0,https://www.npmjs.com/package/react-native-vector-icons,1920307.0,1920307.0,39,True,1,MIT,,
5,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-04-11 13:30:37,2023-10-11 12:47:32,1397.0,,3272.0,195.0,875.0,157.0,1458.0,13186.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,27310.0,27310.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,171172.0,171172.0,38,True,1,MIT,,13.0
6,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-04-11 18:22:52,2024-04-04 19:34:16,8556.0,71.0,507.0,121.0,902.0,104.0,1736.0,10774.0,2024-04-04 19:02:58,37.0.2,100.0,A collection of composable React components for building interactive data visualizations.,23977.0,23977.0,235.0,https://www.npmjs.com/package/victory-native,362441.0,362441.0,38,True,1,,,
7,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-04-25 12:01:15,2024-04-24 14:22:57,4143.0,97.0,674.0,326.0,2253.0,70.0,572.0,6145.0,2024-04-10 11:39:20,7.20.0,100.0,UI Components Library for React Native.,3907.0,3907.0,148.0,https://www.npmjs.com/package/react-native-ui-lib,266749.0,266749.0,36,True,1,MIT,,
8,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-04-07 16:16:14,2024-02-04 03:55:07,2427.0,3.0,4541.0,369.0,1642.0,92.0,2003.0,24579.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,546447.0,546447.0,33,True,2,MIT,,
9,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15 11:37:23,2024-01-29 05:41:10,2023-08-04 14:18:44,6324.0,,2303.0,269.0,2261.0,266.0,3161.0,20017.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",3.0,3.0,299.0,https://www.npmjs.com/package/native-base,252489.0,252489.0,31,True,2,MIT,,
10,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-04-22 18:08:04,2024-04-07 18:19:54,809.0,20.0,1711.0,233.0,388.0,26.0,793.0,16494.0,2024-04-07 13:55:57,6.7.2,40.0,Lottie wrapper for React Native.,,,145.0,https://www.npmjs.com/package/lottie-react-native,1405086.0,1405086.0,31,True,2,Apache-2.0,-8.0,
11,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,2017-10-30 09:28:29,2024-04-18 08:49:48,2020-04-14 18:49:24,386.0,,369.0,15.0,152.0,180.0,275.0,2313.0,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,7403.0,7403.0,39.0,https://www.npmjs.com/package/react-native-svg-charts,171198.0,171198.0,30,True,1,MIT,1.0,
12,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,2016-02-10 16:06:07,2024-04-19 14:39:05,2024-04-19 14:39:05,2555.0,38.0,1323.0,243.0,1135.0,25.0,1304.0,16630.0,2024-04-14 03:31:27,9.6.3,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",3.0,3.0,217.0,,,,29,True,3,MIT,-1.0,
13,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,2016-12-20 08:22:38,2024-02-07 22:48:40,2024-01-05 12:22:19,842.0,,930.0,128.0,574.0,152.0,1021.0,10109.0,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,11199.0,11199.0,63.0,https://www.npmjs.com/package/react-native-ui-kitten,937.0,937.0,29,True,3,MIT,-1.0,
