,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2023-11-16 10:07:12,2023-11-16 10:05:35,2693.0,55.0,4757.0,322.0,1746.0,669.0,8578.0,22852.0,2023-11-03 14:58:32,@react-navigation/native-stack@6.9.17,100.0,Routing and navigation for your React Native apps.,810381.0,810381.0,266.0,https://www.npmjs.com/package/@react-navigation/native,3142999.0,3142999.0,42,True,1,,,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2023-11-14 14:13:52,2023-11-14 14:13:52,2027.0,50.0,1945.0,117.0,1822.0,106.0,2166.0,11497.0,2023-10-24 08:51:10,5.11.1,100.0,Material Design for React Native (Android & iOS).,162627.0,162627.0,313.0,https://www.npmjs.com/package/react-native-paper,612278.0,612278.0,42,True,1,MIT,,
2,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2023-11-10 15:49:59,2023-10-09 22:24:24,1477.0,3.0,4586.0,220.0,1165.0,70.0,3466.0,14471.0,2023-10-09 22:24:34,1.8.0,100.0,React Native Mapview component for iOS + Android.,164126.0,164126.0,480.0,https://www.npmjs.com/package/react-native-maps,871777.0,871777.0,41,True,1,MIT,,
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2023-11-16 17:33:51,2023-11-16 13:21:18,19825.0,823.0,4243.0,283.0,12486.0,358.0,12000.0,24538.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",793623.0,793623.0,1223.0,,,,40,True,1,MIT,,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2023-11-10 13:26:42,2023-11-09 12:54:16,615.0,11.0,2056.0,207.0,373.0,142.0,1054.0,16988.0,2023-11-09 12:54:47,10.0.2,67.0,Customizable Icons for React Native with support for image source and full styling.,530681.0,530681.0,143.0,https://www.npmjs.com/package/react-native-vector-icons,1701736.0,1701736.0,40,True,1,MIT,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2023-11-14 21:03:17,2023-11-14 21:02:10,769.0,16.0,1705.0,234.0,345.0,27.0,744.0,16262.0,2023-11-14 21:03:38,6.4.1,33.0,Lottie wrapper for React Native.,107256.0,107256.0,139.0,https://www.npmjs.com/package/lottie-react-native,1193025.0,1193025.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2023-10-15 12:57:45,2023-10-11 12:47:32,1397.0,4.0,3264.0,194.0,866.0,135.0,1452.0,12794.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,25333.0,25333.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,129924.0,129924.0,39,True,1,MIT,12.0,
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2023-11-15 17:11:51,2023-11-15 17:07:29,8441.0,8.0,497.0,124.0,787.0,282.0,1498.0,10583.0,2023-11-02 15:48:31,36.6.12,96.0,A collection of composable React components for building interactive data visualizations.,21982.0,21982.0,226.0,https://www.npmjs.com/package/victory-native,296269.0,296269.0,36,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2023-11-16 14:30:20,2023-11-16 13:30:55,3975.0,49.0,651.0,331.0,2055.0,52.0,561.0,5799.0,2023-11-09 07:12:13,7.10.0,100.0,UI Components Library for React Native.,3481.0,3481.0,142.0,https://www.npmjs.com/package/react-native-ui-lib,179458.0,179458.0,35,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2023-11-09 08:11:08,2023-09-09 10:05:52,2405.0,5.0,4502.0,371.0,1630.0,82.0,1993.0,24149.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,4.0,4.0,404.0,https://www.npmjs.com/package/react-native-elements,485711.0,485711.0,34,True,2,MIT,,
