,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-01-02 16:41:22,2024-01-02 16:41:21,2715.0,50.0,4775.0,322.0,1765.0,677.0,8603.0,22982.0,2023-11-03 14:58:32,@react-navigation/native-stack@6.9.17,100.0,Routing and navigation for your React Native apps.,841478.0,841478.0,266.0,https://www.npmjs.com/package/@react-navigation/native,2609439.0,2609439.0,42,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-01-02 13:09:27,2024-01-02 11:55:03,1501.0,20.0,4588.0,219.0,1179.0,58.0,3500.0,14543.0,2024-01-02 11:55:12,1.9.0,100.0,React Native Mapview component for iOS + Android.,167221.0,167221.0,485.0,https://www.npmjs.com/package/react-native-maps,740975.0,740975.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-01-04 17:43:50,2024-01-04 17:42:05,20408.0,991.0,4319.0,279.0,13029.0,395.0,12226.0,25528.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",823066.0,823066.0,1247.0,,,,41,True,1,MIT,,
3,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-01-02 19:16:16,2024-01-02 19:05:42,2045.0,37.0,1970.0,116.0,1843.0,117.0,2199.0,11722.0,2024-01-02 19:06:26,5.11.6,100.0,Material Design for React Native (Android & iOS).,172124.0,172124.0,316.0,https://www.npmjs.com/package/react-native-paper,575619.0,575619.0,41,True,1,MIT,,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-01-04 13:40:49,2023-12-14 08:26:32,618.0,14.0,2059.0,207.0,380.0,149.0,1056.0,17058.0,2023-12-14 08:27:16,10.0.3,68.0,Customizable Icons for React Native with support for image source and full styling.,547196.0,547196.0,144.0,https://www.npmjs.com/package/react-native-vector-icons,1376019.0,1376019.0,40,True,1,MIT,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-01-04 15:10:56,2024-01-04 15:10:44,782.0,22.0,1706.0,234.0,355.0,26.0,755.0,16345.0,2024-01-04 15:12:40,6.5.1,35.0,Lottie wrapper for React Native.,109086.0,109086.0,141.0,https://www.npmjs.com/package/lottie-react-native,1004077.0,1004077.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2023-12-06 10:24:52,2023-10-11 12:47:32,1397.0,2.0,3265.0,193.0,869.0,144.0,1452.0,12904.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,25980.0,25980.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,113917.0,113917.0,37,True,1,MIT,12.0,
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-01-04 14:39:15,2024-01-04 14:38:20,8448.0,15.0,503.0,122.0,796.0,283.0,1505.0,10654.0,2023-11-29 14:42:36,36.7.0,97.0,A collection of composable React components for building interactive data visualizations.,22608.0,22608.0,230.0,https://www.npmjs.com/package/victory-native,253977.0,253977.0,37,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-01-04 14:46:01,2024-01-04 11:30:04,4022.0,75.0,665.0,328.0,2111.0,60.0,565.0,5907.0,2024-01-04 13:44:30,7.14.0,100.0,UI Components Library for React Native.,3612.0,3612.0,146.0,https://www.npmjs.com/package/react-native-ui-lib,174232.0,174232.0,35,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2023-12-27 12:35:19,2023-12-27 12:35:19,2421.0,16.0,4521.0,371.0,1636.0,81.0,2000.0,24287.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,409.0,https://www.npmjs.com/package/react-native-elements,394294.0,394294.0,33,True,2,MIT,,-2.0
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15 11:37:23,2023-11-28 12:34:32,2023-08-04 14:18:44,6324.0,,2294.0,269.0,2259.0,260.0,3161.0,19833.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",3.0,3.0,299.0,https://www.npmjs.com/package/native-base,208129.0,208129.0,32,True,2,MIT,,1.0
11,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,2016-02-10 16:06:07,2024-01-04 17:57:02,2023-12-20 21:13:58,2502.0,53.0,1295.0,241.0,1095.0,19.0,1284.0,16121.0,2023-12-15 00:52:58,9.2.0,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",3.0,3.0,204.0,,,,30,True,3,MIT,,1.0
12,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,2016-12-20 08:22:38,2023-12-20 11:10:57,2023-06-12 07:53:24,841.0,,922.0,124.0,574.0,142.0,1020.0,9949.0,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,11180.0,11180.0,62.0,https://www.npmjs.com/package/react-native-ui-kitten,895.0,895.0,29,True,3,MIT,,
13,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,2017-10-30 09:28:29,2023-05-17 10:28:38,2020-04-14 18:49:24,386.0,,363.0,14.0,151.0,181.0,275.0,2296.0,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,7015.0,7015.0,39.0,https://www.npmjs.com/package/react-native-svg-charts,133444.0,133444.0,29,True,1,MIT,,
14,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,2016-08-08 15:26:08,2024-01-04 10:44:43,2024-01-04 10:40:00,1276.0,20.0,439.0,93.0,486.0,103.0,216.0,4861.0,2023-01-10 14:17:30,6.1.2,84.0,Customizable set of components for React Native applications.,1417.0,1417.0,56.0,https://www.npmjs.com/package/@shoutem/ui,6596.0,6596.0,28,True,3,,37.0,
15,react-native-charts-wrapper,wuxudong/react-native-charts-wrapper,chart-components,react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,2017-03-03 07:58:57,2023-11-02 13:33:43,2023-10-28 07:06:16,339.0,7.0,601.0,51.0,119.0,188.0,675.0,2379.0,2023-10-28 07:08:16,0.6.0,35.0,a react native charts wrapper (support android & iOS).,1360.0,1360.0,56.0,https://www.npmjs.com/package/react-native-charts-wrapper,53537.0,53537.0,28,True,2,,,
16,react-native-chart-kit,indiespirit/react-native-chart-kit,chart-components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,2017-12-20 02:30:08,2023-06-12 13:43:45,2022-02-08 04:03:57,336.0,,599.0,13.0,176.0,387.0,154.0,2688.0,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",15899.0,15899.0,102.0,https://www.npmjs.com/package/react-native-chart-kit,127809.0,127809.0,27,True,2,MIT,,
17,RNMK,xinthink/react-native-material-kit,ui-frameworks,react-native-material-kit,https://github.com/xinthink/react-native-material-kit,https://github.com/xinthink/react-native-material-kit,2015-07-01 12:33:24,2023-01-04 06:15:00,2020-03-08 04:28:42,496.0,,558.0,101.0,163.0,150.0,156.0,4843.0,2016-12-18 05:14:29,0.3.4,15.0,Bringing Material Design to React Native.,1566.0,1566.0,76.0,https://www.npmjs.com/package/react-native-material-kit,734.0,734.0,26,True,3,MIT,,
18,React Native Material UI,xotahal/react-native-material-ui,ui-frameworks,react-native-material-ui,https://github.com/xotahal/react-native-material-ui,https://github.com/xotahal/react-native-material-ui,2016-03-24 15:40:53,2023-04-19 08:31:36,2019-04-19 21:39:12,524.0,,593.0,90.0,205.0,169.0,145.0,3786.0,2019-04-20 05:02:31,2.0.0-alpha.1@deelop,20.0,Highly customizable material design components for React Native.,2958.0,2958.0,71.0,https://www.npmjs.com/package/react-native-material-ui,2381.0,2381.0,25,True,3,MIT,,
19,Galio,galio-org/galio,ui-frameworks,galio,https://github.com/galio-org/galio,https://github.com/galio-org/galio,2018-06-17 16:14:11,2023-04-20 22:58:40,2022-03-30 11:06:58,419.0,,310.0,56.0,131.0,42.0,85.0,3078.0,2022-03-30 11:08:29,0.8.1,11.0,"Galio is a beautifully designed, Free and Open Source React Native Framework.",2786.0,2786.0,37.0,https://www.npmjs.com/package/galio,,,23,True,3,MIT,,
20,Teaset,rilyu/teaset,ui-frameworks,teaset,https://github.com/rilyu/teaset,https://github.com/rilyu/teaset,2016-12-07 03:48:10,2021-05-29 08:52:27,2020-10-23 07:45:44,144.0,,467.0,70.0,29.0,189.0,245.0,2935.0,2020-04-01 09:07:17,0.7.4,20.0,"A UI library for react native, provides 20+ pure JS(ES6) components, focusing on content display and action control.",733.0,733.0,13.0,https://www.npmjs.com/package/teaset,261.0,261.0,23,True,3,MIT,,
21,react-native-pathjs-charts,capitalone/react-native-pathjs-charts,chart-components,react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,2016-07-29 19:43:20,2018-03-01 15:28:09,2018-03-01 15:28:09,128.0,,251.0,36.0,74.0,72.0,87.0,880.0,2018-02-19 01:42:23,0.0.34,14.0,Android and iOS charts based on react-native-svg and paths-js.,679.0,679.0,27.0,https://www.npmjs.com/package/react-native-pathjs-charts,232.0,232.0,22,False,2,Apache-2.0,,
22,react-native-graph,margelo/react-native-graph,chart-components,react-native-graph,https://github.com/margelo/react-native-graph,https://github.com/margelo/react-native-graph,2022-04-29 12:40:18,2023-09-01 23:19:54,2023-09-01 23:19:54,84.0,,87.0,15.0,32.0,26.0,35.0,1680.0,2023-02-20 10:49:18,1.0.1,5.0,"Beautiful, high-performance Graphs and Charts for React Native built with Skia.",101.0,101.0,12.0,https://www.npmjs.com/package/react-native-graph,6330.0,6330.0,20,True,3,MIT,,
23,Nachos UI,nachos-ui/nachos-ui,ui-frameworks,nachos-ui,https://github.com/nachos-ui/nachos-ui,https://github.com/nachos-ui/nachos-ui,2017-01-30 14:22:09,2021-03-12 10:42:57,2018-08-15 19:47:46,58.0,,120.0,34.0,14.0,13.0,34.0,2062.0,,,,Nachos UI is a React Native component library.,341.0,341.0,10.0,https://www.npmjs.com/package/nachos-ui,270.0,270.0,19,False,3,MIT,,
