,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending
0,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2023-06-05 07:07:57,2023-04-23 13:51:31,1474,65.0,4555,219,1143,32,3421,14100,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,154305.0,154305.0,478,https://www.npmjs.com/package/react-native-maps,763718.0,763718.0,43,True,1,,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2023-06-08 09:57:58,2023-05-31 20:10:05,1921,73.0,1895,117,1735,77,2034,10834,2023-05-15 14:55:23,5.8.0,100.0,Material Design for React Native (Android & iOS).,123654.0,123654.0,297,https://www.npmjs.com/package/react-native-paper,602718.0,602718.0,42,True,1,,
2,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2023-06-08 13:04:42,2023-06-08 11:43:12,1375,43.0,3231,193,851,106,1442,12485,2023-06-08 13:04:42,2.3.0,66.0,The most complete chat UI for React Native.,23246.0,23246.0,212,https://www.npmjs.com/package/react-native-gifted-chat,150723.0,150723.0,41,True,1,12.0,1.0
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2023-06-08 17:33:10,2023-06-08 17:32:30,18264,586.0,3936,270,10996,249,11048,20797,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",691410.0,691410.0,1110,,,,40,True,1,,
4,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2023-06-08 14:32:56,2023-05-29 19:57:07,2631,6.0,4691,329,1682,617,8450,22473,2023-03-01 14:55:05,react-native-drawer-layout@3.2.0,100.0,Routing and navigation for your React Native apps.,217742.0,217742.0,252,https://www.npmjs.com/package/@react-navigation/native,3083284.0,3083284.0,39,True,1,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2023-06-06 21:00:55,2023-05-20 18:49:45,715,7.0,1682,237,302,28,688,15890,2023-05-14 18:09:46,5.1.6,21.0,Lottie wrapper for React Native.,101815.0,101815.0,132,https://www.npmjs.com/package/lottie-react-native,1163449.0,1163449.0,38,True,1,,
6,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2023-06-07 16:49:53,2023-06-07 16:49:53,2394,8.0,4422,377,1612,67,1983,23686,2022-12-23 20:15:46,3.4.3,84.0,Cross-Platform React Native UI Toolkit.,9451.0,9451.0,397,https://www.npmjs.com/package/react-native-elements,396151.0,396151.0,37,True,2,,
7,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2023-06-02 07:47:35,2023-05-25 12:53:51,585,1.0,2031,212,348,377,778,16691,2022-06-24 20:26:52,9.2.0-1,64.0,Customizable Icons for React Native with support for image source and full styling.,458779.0,458779.0,125,https://www.npmjs.com/package/react-native-vector-icons,1562990.0,1562990.0,37,True,1,,
8,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,,2015-07-02 22:36:50,2023-05-25 14:18:26,2023-05-25 14:18:26,8431,7.0,483,133,772,251,1491,10352,2022-08-04 17:11:19,36.6.0,95.0,A collection of composable React components for building interactive data visualizations.,19649.0,19649.0,220,https://www.npmjs.com/package/victory-native,296914.0,296914.0,35,True,1,,
9,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2023-06-08 14:49:17,2023-06-08 11:35:48,3844,74.0,643,331,1927,39,526,5443,2023-05-24 04:37:11,7.4.0,100.0,UI Components Library for React Native.,3018.0,3018.0,135,https://www.npmjs.com/package/react-native-ui-lib,76259.0,76259.0,35,True,2,,
