,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-03-28 11:32:07,2024-03-27 15:23:17,2813.0,99.0,4798.0,319.0,1812.0,694.0,8654.0,23176.0,2024-03-18 18:16:56,@react-navigation/core@6.4.16,100.0,Routing and navigation for your React Native apps.,895472.0,895472.0,281.0,https://www.npmjs.com/package/@react-navigation/native,4386612.0,4386612.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-03-25 06:48:43,2024-03-11 17:25:07,1528.0,32.0,4583.0,216.0,1198.0,63.0,3543.0,14700.0,2024-03-11 17:25:18,1.11.3,100.0,React Native Mapview component for iOS + Android.,172300.0,172300.0,493.0,https://www.npmjs.com/package/react-native-maps,1187507.0,1187507.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-03-28 17:43:36,2024-03-28 16:00:18,21296.0,939.0,4523.0,285.0,13977.0,415.0,12853.0,28464.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",879647.0,879647.0,1312.0,,,,41,True,1,MIT,,
3,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-03-28 12:54:29,2024-01-24 19:35:12,2079.0,36.0,1999.0,119.0,1869.0,157.0,2234.0,12127.0,2024-01-24 19:36:21,5.12.3,100.0,Material Design for React Native (Android & iOS).,186181.0,186181.0,325.0,https://www.npmjs.com/package/react-native-paper,969679.0,969679.0,41,True,1,MIT,,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-03-27 11:28:14,2023-12-14 08:26:32,618.0,,2067.0,206.0,388.0,157.0,1058.0,17174.0,2023-12-14 08:27:16,10.0.3,68.0,Customizable Icons for React Native with support for image source and full styling.,572496.0,572496.0,144.0,https://www.npmjs.com/package/react-native-vector-icons,2044707.0,2044707.0,39,True,1,MIT,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-03-23 21:33:08,2024-03-23 09:34:41,802.0,27.0,1714.0,232.0,381.0,24.0,787.0,16454.0,2024-03-03 20:57:01,6.7.0,38.0,Lottie wrapper for React Native.,112143.0,112143.0,145.0,https://www.npmjs.com/package/lottie-react-native,1603277.0,1603277.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-03-22 13:28:13,2023-10-11 12:47:32,1397.0,,3270.0,194.0,873.0,153.0,1458.0,13113.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,26986.0,26986.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,167752.0,167752.0,38,True,1,MIT,13.0,
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-03-27 14:33:59,2024-03-25 15:27:15,8552.0,107.0,504.0,121.0,897.0,101.0,1728.0,10749.0,2024-03-25 16:04:33,37.0.1,100.0,A collection of composable React components for building interactive data visualizations.,23626.0,23626.0,235.0,https://www.npmjs.com/package/victory-native,369959.0,369959.0,38,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-03-28 14:46:36,2024-03-28 11:30:39,4110.0,94.0,672.0,326.0,2217.0,68.0,571.0,6088.0,2024-03-27 14:38:02,7.19.0,100.0,UI Components Library for React Native.,3825.0,3825.0,148.0,https://www.npmjs.com/package/react-native-ui-lib,295819.0,295819.0,35,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-03-03 07:55:01,2024-02-04 03:55:07,2427.0,6.0,4539.0,370.0,1641.0,90.0,2000.0,24520.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,591000.0,591000.0,33,True,2,MIT,,-1.0
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15 11:37:23,2024-01-29 05:41:10,2023-08-04 14:18:44,6324.0,,2297.0,269.0,2261.0,266.0,3161.0,19975.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",3.0,3.0,299.0,https://www.npmjs.com/package/native-base,281108.0,281108.0,32,True,2,MIT,,
11,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,2016-02-10 16:06:07,2024-03-28 14:06:30,2024-03-28 13:55:57,2550.0,48.0,1322.0,243.0,1129.0,22.0,1301.0,16521.0,2024-02-28 02:54:01,9.6.2,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",3.0,3.0,215.0,,,,30,True,3,MIT,,
12,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,2016-12-20 08:22:38,2024-02-07 22:48:40,2024-01-05 12:22:19,842.0,1.0,928.0,127.0,574.0,150.0,1021.0,10070.0,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,11192.0,11192.0,63.0,https://www.npmjs.com/package/react-native-ui-kitten,1209.0,1209.0,29,True,3,MIT,,
