,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,license,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-02-29 14:54:17,2024-02-28 17:02:45,2747.0,51.0,4798.0,322.0,1794.0,681.0,8640.0,23131.0,2024-02-28 17:03:11,@react-navigation/devtools@6.0.23,100.0,Routing and navigation for your React Native apps.,876462.0,876462.0,274.0,https://www.npmjs.com/package/@react-navigation/native,3994197.0,3994197.0,43,True,1,1.0,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-02-26 08:19:43,2024-02-25 17:34:10,1518.0,34.0,4581.0,216.0,1194.0,68.0,3527.0,14642.0,2024-02-18 17:42:25,1.10.3,100.0,React Native Mapview component for iOS + Android.,170456.0,170456.0,490.0,https://www.npmjs.com/package/react-native-maps,1116758.0,1116758.0,42,True,1,,MIT,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-02-29 17:50:28,2024-02-29 17:50:27,20973.0,955.0,4443.0,287.0,13621.0,408.0,12684.0,27809.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",859518.0,859518.0,1294.0,,,,41,True,1,,MIT,
3,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-02-27 13:34:57,2024-01-24 19:35:12,2079.0,40.0,1994.0,118.0,1865.0,135.0,2231.0,12024.0,2024-01-24 19:36:21,5.12.3,100.0,Material Design for React Native (Android & iOS).,181475.0,181475.0,325.0,https://www.npmjs.com/package/react-native-paper,904679.0,904679.0,41,True,1,-1.0,MIT,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-02-26 09:18:43,2023-12-14 08:26:32,618.0,3.0,2062.0,206.0,387.0,151.0,1056.0,17130.0,2023-12-14 08:27:16,10.0.3,68.0,Customizable Icons for React Native with support for image source and full styling.,563963.0,563963.0,144.0,https://www.npmjs.com/package/react-native-vector-icons,1881921.0,1881921.0,39,True,1,,MIT,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-02-26 00:31:33,2024-02-08 07:11:49,794.0,25.0,1711.0,232.0,371.0,24.0,780.0,16418.0,2024-01-28 12:10:56,6.6.0,37.0,Lottie wrapper for React Native.,111105.0,111105.0,143.0,https://www.npmjs.com/package/lottie-react-native,1432471.0,1432471.0,39,True,1,,Apache-2.0,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-02-01 15:04:12,2023-10-11 12:47:32,1397.0,,3270.0,195.0,871.0,150.0,1456.0,13046.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,26619.0,26619.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,157636.0,157636.0,38,True,1,,MIT,12.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-02-29 16:00:39,2024-02-29 15:56:09,8532.0,89.0,503.0,121.0,887.0,229.0,1593.0,10722.0,2024-02-06 16:04:28,36.9.1,100.0,A collection of composable React components for building interactive data visualizations.,23294.0,23294.0,234.0,https://www.npmjs.com/package/victory-native,327901.0,327901.0,38,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-02-28 07:13:40,2024-02-26 18:15:27,4082.0,94.0,672.0,326.0,2182.0,66.0,569.0,6031.0,2024-02-28 07:32:20,7.17.0,100.0,UI Components Library for React Native.,3754.0,3754.0,146.0,https://www.npmjs.com/package/react-native-ui-lib,316181.0,316181.0,35,True,2,,MIT,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-02-08 17:54:01,2024-02-04 03:55:07,2427.0,17.0,4531.0,372.0,1640.0,89.0,2003.0,24448.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,561660.0,561660.0,34,True,2,,MIT,
