,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending
16,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,,2016-08-08 15:26:08,2023-03-31 08:34:38,2023-03-31 08:34:37,1231,,437,95,464,101,215,4819,2023-01-10 14:17:30,6.1.2,84.0,Customizable set of components for React Native applications.,1400.0,1400.0,55,https://www.npmjs.com/package/@shoutem/ui,1127.0,1127.0,26,True,3,37.0,-1.0
17,react-native-charts-wrapper,wuxudong/react-native-charts-wrapper,chart-components,react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,,2017-03-03 07:58:57,2023-04-25 01:57:03,2023-04-25 01:56:55,332,2.0,590,51,112,175,672,2322,2022-10-15 10:15:27,0.5.11,34.0,a react native charts wrapper (support android & iOS).,1225.0,1225.0,55,https://www.npmjs.com/package/react-native-charts-wrapper,71274.0,71274.0,26,True,2,,-1.0
18,React Native Material UI,xotahal/react-native-material-ui,ui-frameworks,react-native-material-ui,https://github.com/xotahal/react-native-material-ui,https://github.com/xotahal/react-native-material-ui,MIT,2016-03-24 15:40:53,2023-04-19 08:31:36,2019-04-19 21:39:12,524,,600,89,205,170,144,3788,2019-04-20 05:02:31,2.0.0-alpha.1@deelop,20.0,Highly customizable material design components for React Native.,2909.0,2909.0,71,https://www.npmjs.com/package/react-native-material-ui,4316.0,4316.0,25,True,3,,-1.0
19,Galio,galio-org/galio,ui-frameworks,galio,https://github.com/galio-org/galio,https://github.com/galio-org/galio,MIT,2018-06-17 16:14:11,2023-04-20 22:58:40,2022-03-30 11:06:58,419,,306,57,131,41,85,3035,2022-03-30 11:08:29,0.8.1,11.0,"Galio is a beautifully designed, Free and Open Source React Native Framework.",2624.0,2624.0,37,https://www.npmjs.com/package/galio,,,23,True,3,,-1.0
20,Teaset,rilyu/teaset,ui-frameworks,teaset,https://github.com/rilyu/teaset,https://github.com/rilyu/teaset,MIT,2016-12-07 03:48:10,2021-05-29 08:52:27,2020-10-23 07:45:44,144,,470,71,29,188,245,2917,2020-04-01 09:07:17,0.7.4,20.0,"A UI library for react native, provides 20+ pure JS(ES6) components, focusing on content display and action control.",721.0,721.0,13,https://www.npmjs.com/package/teaset,576.0,576.0,23,True,3,,
21,react-native-pathjs-charts,capitalone/react-native-pathjs-charts,chart-components,react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,Apache-2.0,2016-07-29 19:43:20,2018-03-01 15:28:09,2018-03-01 15:28:09,128,,252,36,74,72,87,879,2018-02-19 01:42:23,0.0.34,14.0,Android and iOS charts based on react-native-svg and paths-js.,671.0,671.0,27,https://www.npmjs.com/package/react-native-pathjs-charts,243.0,243.0,22,False,2,,
22,react-native-graph,margelo/react-native-graph,chart-components,react-native-graph,https://github.com/margelo/react-native-graph,https://github.com/margelo/react-native-graph,MIT,2022-04-29 12:40:18,2023-06-22 21:57:35,2023-06-07 12:38:27,83,2.0,66,14,31,29,23,1484,2023-02-20 10:49:18,1.0.1,5.0,"Beautiful, high-performance Graphs and Charts for React Native.",68.0,68.0,12,https://www.npmjs.com/package/react-native-graph,3550.0,3550.0,21,True,3,,
23,react-native-echarts,wuba/react-native-echarts,chart-components,@wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,Apache-2.0,2023-01-09 06:12:24,2023-07-04 01:33:19,2023-07-04 01:33:18,84,29.0,20,21,47,6,21,402,2023-06-21 03:47:21,1.2.1,10.0,"React Native ECharts Library: An awesome charting library for React Native, built upon Apache ECharts and leveraging..",18.0,18.0,10,https://www.npmjs.com/package/@wuba/react-native-echarts,3458.0,3458.0,21,True,3,,2.0
24,Nachos UI,nachos-ui/nachos-ui,ui-frameworks,nachos-ui,https://github.com/nachos-ui/nachos-ui,https://github.com/nachos-ui/nachos-ui,MIT,2017-01-30 14:22:09,2021-03-12 10:42:57,2018-08-15 19:47:46,58,,121,35,14,13,34,2064,,,,Nachos UI is a React Native component library.,336.0,336.0,10,https://www.npmjs.com/package/nachos-ui,888.0,888.0,19,True,3,,-1.0
25,react-native-animated-charts,rainbow-me/react-native-animated-charts,chart-components,@rainbow-me/animated-charts,https://github.com/rainbow-me/react-native-animated-charts,https://github.com/rainbow-me/react-native-animated-charts,MIT,2020-09-14 19:18:48,2022-10-02 23:16:37,2021-10-25 17:08:17,19,,93,14,14,56,25,863,,,6.0,Set of components and helpers for building complex and beautifully animated charts.,658.0,658.0,5,https://www.npmjs.com/package/@rainbow-me/animated-charts,1087.0,1087.0,17,True,3,,
26,react-native-highcharts,TradingPal/react-native-highcharts,chart-components,react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,,2016-11-18 17:56:58,2022-03-23 08:45:14,2017-12-01 22:33:30,74,,128,9,32,59,40,253,,,,Add Highcharts charts to react-native app for IOS and Android.,264.0,264.0,5,https://www.npmjs.com/package/react-native-highcharts,265.0,265.0,15,False,3,,
27,Material Kit React Native,creativetimofficial/material-kit-react-native,templates,material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,MIT,2019-01-09 12:35:13,2022-07-15 17:30:35,2022-04-18 10:03:45,60,,575,18,8,2,26,547,2022-04-18 10:03:23,1.9.0,8.0,Material Kit React Native.,,,7,https://www.npmjs.com/package/material-kit-react-native,,,14,True,1,,
28,react-native-charts,chartiful/react-native-charts,chart-components,@chartiful/react-native-chart-builder,https://github.com/chartiful/react-native-charts,https://github.com/chartiful/react-native-charts,MIT,2020-05-27 00:31:59,2022-12-06 22:22:09,2020-10-17 07:33:31,110,,9,3,40,9,2,66,,,,SVG Charts for React Native.,181.0,181.0,2,https://www.npmjs.com/package/@chartiful/react-native-chart-builder,712.0,712.0,11,True,3,,
29,react-native-skia-charts,vladanyes/react-native-skia-charts,chart-components,react-native-skia-charts,https://github.com/vladanyes/react-native-skia-charts,https://github.com/vladanyes/react-native-skia-charts,MIT,2022-12-28 17:49:18,2023-03-13 08:45:32,2023-03-13 08:45:20,54,,7,7,4,2,4,122,,,1.0,High-performance charts for react-native.,8.0,8.0,3,https://www.npmjs.com/package/react-native-skia-charts,71.0,71.0,10,True,3,,
