,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending
0,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2023-05-26 20:00:35,2023-04-23 13:51:31,1474,65.0,4556,219,1141,29,3417,14083,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,153845.0,153845.0,478,https://www.npmjs.com/package/react-native-maps,760300.0,760300.0,43,True,1,,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2023-06-01 14:00:32,2023-05-31 20:10:05,1921,96.0,1892,116,1732,69,2034,10801,2023-05-15 14:55:23,5.8.0,100.0,Material Design for React Native (Android & iOS).,122642.0,122642.0,297,https://www.npmjs.com/package/react-native-paper,599354.0,599354.0,42,True,1,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2023-06-01 17:37:55,2023-06-01 17:37:53,18220,620.0,3925,269,10947,249,11009,20686,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",686572.0,686572.0,1108,,,,40,True,1,,
3,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2023-05-25 14:38:06,2023-05-24 12:54:46,1367,37.0,3227,193,850,104,1443,12477,2023-05-05 08:31:30,2.1.0,64.0,The most complete chat UI for React Native.,23155.0,23155.0,211,https://www.npmjs.com/package/react-native-gifted-chat,142822.0,142822.0,40,True,1,12.0,
4,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2023-05-31 17:57:17,2023-05-29 19:57:07,2631,8.0,4686,328,1680,614,8447,22458,2023-03-01 14:55:05,react-native-drawer-layout@3.2.0,100.0,Routing and navigation for your React Native apps.,215434.0,215434.0,252,https://www.npmjs.com/package/@react-navigation/native,3060445.0,3060445.0,39,True,1,,7.0
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2023-05-25 12:57:08,2023-05-20 18:49:45,715,7.0,1683,237,301,28,687,15878,2023-05-14 18:09:46,5.1.6,21.0,Lottie wrapper for React Native.,101598.0,101598.0,132,https://www.npmjs.com/package/lottie-react-native,1145710.0,1145710.0,38,True,1,,
6,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2023-05-31 04:21:40,2023-04-23 20:27:57,2389,3.0,4418,377,1612,68,1982,23662,2022-12-23 20:15:46,3.4.3,84.0,Cross-Platform React Native UI Toolkit.,9252.0,9252.0,394,https://www.npmjs.com/package/react-native-elements,396894.0,396894.0,37,True,2,,-1.0
7,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2023-05-25 12:53:51,2023-05-25 12:53:51,585,1.0,2030,212,347,377,778,16681,2022-06-24 20:26:52,9.2.0-1,64.0,Customizable Icons for React Native with support for image source and full styling.,455467.0,455467.0,125,https://www.npmjs.com/package/react-native-vector-icons,1532753.0,1532753.0,37,True,1,,
8,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,,2015-07-02 22:36:50,2023-05-25 14:18:26,2023-05-25 14:18:26,8431,7.0,482,133,772,248,1491,10334,2022-08-04 17:11:19,36.6.0,95.0,A collection of composable React components for building interactive data visualizations.,19521.0,19521.0,220,https://www.npmjs.com/package/victory-native,294537.0,294537.0,35,True,1,,
9,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2023-06-01 11:33:07,2023-06-01 11:32:59,3838,71.0,643,331,1923,39,526,5425,2023-05-24 04:37:11,7.4.0,100.0,UI Components Library for React Native.,3005.0,3005.0,135,https://www.npmjs.com/package/react-native-ui-lib,75428.0,75428.0,35,True,2,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,MIT,2016-04-15 11:37:23,2023-05-11 19:34:25,2023-03-06 08:05:15,6322,12.0,2259,273,2250,233,3156,19382,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",,,299,https://www.npmjs.com/package/native-base,359920.0,359920.0,33,True,2,,
11,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,MIT,2016-12-20 08:22:38,2023-05-25 12:43:58,2023-05-04 21:28:52,837,16.0,893,125,567,111,1012,9659,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,5979.0,5979.0,62,https://www.npmjs.com/package/react-native-ui-kitten,1190.0,1190.0,32,True,3,,
12,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,MIT,2017-10-30 09:28:29,2023-05-17 10:28:38,2020-04-14 18:49:24,386,,350,15,151,174,275,2242,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,6311.0,6311.0,39,https://www.npmjs.com/package/react-native-svg-charts,128952.0,128952.0,30,True,1,,
13,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,MIT,2016-02-10 16:06:07,2023-05-31 04:29:21,2023-05-23 11:05:47,2426,27.0,1235,240,1021,35,1224,15332,2023-05-23 11:05:53,8.8.2,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",,,194,,,,28,True,3,,
