,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending
14,react-native-chart-kit,indiespirit/react-native-chart-kit,chart-components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,MIT,2017-12-20 02:30:08,2023-05-31 10:36:39,2022-02-08 04:03:57,336,,580,14,175,365,148,2511,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",12546.0,12546.0,102,https://www.npmjs.com/package/react-native-chart-kit,113516.0,113516.0,27,True,2,,
15,react-native-charts-wrapper,wuxudong/react-native-charts-wrapper,chart-components,react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,,2017-03-03 07:58:57,2023-04-25 01:57:03,2023-04-25 01:56:55,332,2.0,591,51,112,171,671,2307,2022-10-15 10:15:27,0.5.11,34.0,a react native charts wrapper (support android & iOS).,1181.0,1181.0,55,https://www.npmjs.com/package/react-native-charts-wrapper,92136.0,92136.0,27,True,2,,
16,RNMK,xinthink/react-native-material-kit,ui-frameworks,react-native-material-kit,https://github.com/xinthink/react-native-material-kit,https://github.com/xinthink/react-native-material-kit,MIT,2015-07-01 12:33:24,2023-01-04 06:15:00,2020-03-08 04:28:42,496,,564,100,163,150,156,4841,2016-12-18 05:14:29,0.3.4,15.0,Bringing Material Design to React Native.,1532.0,1532.0,76,https://www.npmjs.com/package/react-native-material-kit,823.0,823.0,26,True,3,,
17,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,,2016-08-08 15:26:08,2023-03-31 08:34:38,2023-03-31 08:34:37,1231,2.0,435,94,464,101,215,4806,2023-01-10 14:17:30,6.1.2,84.0,Customizable set of components for React Native applications.,1399.0,1399.0,55,https://www.npmjs.com/package/@shoutem/ui,1313.0,1313.0,26,True,3,34.0,-1.0
18,React Native Material UI,xotahal/react-native-material-ui,ui-frameworks,react-native-material-ui,https://github.com/xotahal/react-native-material-ui,https://github.com/xotahal/react-native-material-ui,MIT,2016-03-24 15:40:53,2023-04-19 08:31:36,2019-04-19 21:39:12,524,,603,90,205,170,144,3783,2019-04-20 05:02:31,2.0.0-alpha.1@deelop,20.0,Highly customizable material design components for React Native.,2898.0,2898.0,71,https://www.npmjs.com/package/react-native-material-ui,5107.0,5107.0,26,True,3,,
19,Galio,galio-org/galio,ui-frameworks,galio,https://github.com/galio-org/galio,https://github.com/galio-org/galio,MIT,2018-06-17 16:14:11,2023-04-20 22:58:40,2022-03-30 11:06:58,419,,306,56,131,41,85,3020,2022-03-30 11:08:29,0.8.1,11.0,"Galio is a beautifully designed, Free and Open Source React Native Framework.",2597.0,2597.0,37,https://www.npmjs.com/package/galio,,,24,True,3,,
20,Teaset,rilyu/teaset,ui-frameworks,teaset,https://github.com/rilyu/teaset,https://github.com/rilyu/teaset,MIT,2016-12-07 03:48:10,2021-05-29 08:52:27,2020-10-23 07:45:44,144,,469,71,29,188,245,2908,2020-04-01 09:07:17,0.7.4,20.0,"A UI library for react native, provides 20+ pure JS(ES6) components, focusing on content display and action control.",719.0,719.0,13,https://www.npmjs.com/package/teaset,402.0,402.0,23,True,3,,
21,react-native-pathjs-charts,capitalone/react-native-pathjs-charts,chart-components,react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,Apache-2.0,2016-07-29 19:43:20,2018-03-01 15:28:09,2018-03-01 15:28:09,128,,251,36,74,72,87,880,2018-02-19 01:42:23,0.0.34,14.0,Android and iOS charts based on react-native-svg and paths-js.,669.0,669.0,27,https://www.npmjs.com/package/react-native-pathjs-charts,224.0,224.0,22,False,2,,
22,react-native-graph,margelo/react-native-graph,chart-components,react-native-graph,https://github.com/margelo/react-native-graph,https://github.com/margelo/react-native-graph,MIT,2022-04-29 12:40:18,2023-05-12 10:13:31,2023-05-12 10:13:31,82,1.0,62,14,30,24,22,1446,2023-02-20 10:49:18,1.0.1,5.0,"Beautiful, high-performance Graphs and Charts for React Native.",58.0,58.0,12,https://www.npmjs.com/package/react-native-graph,2851.0,2851.0,21,True,3,,
23,Nachos UI,nachos-ui/nachos-ui,ui-frameworks,nachos-ui,https://github.com/nachos-ui/nachos-ui,https://github.com/nachos-ui/nachos-ui,MIT,2017-01-30 14:22:09,2021-03-12 10:42:57,2018-08-15 19:47:46,58,,121,35,14,13,34,2064,,,,Nachos UI is a React Native component library.,336.0,336.0,10,https://www.npmjs.com/package/nachos-ui,2730.0,2730.0,20,True,3,,
24,react-native-animated-charts,rainbow-me/react-native-animated-charts,chart-components,@rainbow-me/animated-charts,https://github.com/rainbow-me/react-native-animated-charts,https://github.com/rainbow-me/react-native-animated-charts,MIT,2020-09-14 19:18:48,2022-10-02 23:16:37,2021-10-25 17:08:17,19,,93,14,14,56,25,859,,,6.0,Set of components and helpers for building complex and beautifully animated charts.,651.0,651.0,5,https://www.npmjs.com/package/@rainbow-me/animated-charts,1538.0,1538.0,18,True,3,,
25,react-native-echarts,wuba/react-native-echarts,chart-components,@wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,Apache-2.0,2023-01-09 06:12:24,2023-05-29 02:17:33,2023-05-15 23:38:35,67,23.0,17,22,37,8,13,357,2023-04-26 06:16:37,1.1.1,7.0,"React Native ECharts Library: An awesome charting library for React Native, built upon Apache ECharts and leveraging..",12.0,12.0,7,https://www.npmjs.com/package/@wuba/react-native-echarts,1092.0,1092.0,18,True,3,,
26,react-native-highcharts,TradingPal/react-native-highcharts,chart-components,react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,,2016-11-18 17:56:58,2022-03-23 08:45:14,2017-12-01 22:33:30,74,,128,8,32,59,40,253,,,,Add Highcharts charts to react-native app for IOS and Android.,264.0,264.0,5,https://www.npmjs.com/package/react-native-highcharts,590.0,590.0,15,False,3,,
27,Material Kit React Native,creativetimofficial/material-kit-react-native,templates,material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,MIT,2019-01-09 12:35:13,2022-07-15 17:30:35,2022-04-18 10:03:45,60,,537,18,8,2,26,542,2022-04-18 10:03:23,1.9.0,8.0,Material Kit React Native.,,,7,https://www.npmjs.com/package/material-kit-react-native,,,14,True,1,,
28,react-native-charts,chartiful/react-native-charts,chart-components,@chartiful/react-native-chart-builder,https://github.com/chartiful/react-native-charts,https://github.com/chartiful/react-native-charts,MIT,2020-05-27 00:31:59,2022-12-06 22:22:09,2020-10-17 07:33:31,110,,8,3,40,9,2,65,,,,SVG Charts for React Native.,178.0,178.0,2,https://www.npmjs.com/package/@chartiful/react-native-chart-builder,826.0,826.0,11,True,3,,
29,react-native-skia-charts,vladanyes/react-native-skia-charts,chart-components,react-native-skia-charts,https://github.com/vladanyes/react-native-skia-charts,https://github.com/vladanyes/react-native-skia-charts,MIT,2022-12-28 17:49:18,2023-03-13 08:45:32,2023-03-13 08:45:20,54,7.0,5,7,4,2,4,116,,,1.0,High-performance charts for react-native.,8.0,8.0,3,https://www.npmjs.com/package/react-native-skia-charts,70.0,70.0,10,True,3,,-1.0
