,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads
0,react-native-maps,react-native-maps/react-native-maps,components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2023-05-10 20:43:49,2023-04-23 13:51:31,1474,65.0,4554,219,1140,33,3410,14030,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,151882.0,151882.0,478,https://www.npmjs.com/package/react-native-maps,748555.0,748555.0,43,True,1,,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2023-05-10 17:05:50,2023-05-10 13:55:38,1904,95.0,1882,115,1722,70,2020,10700,2023-05-03 09:26:49,5.7.2,100.0,Material Design for React Native (Android & iOS).,118996.0,118996.0,296,https://www.npmjs.com/package/react-native-paper,581103.0,581103.0,42,True,1,,
2,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2023-05-10 14:48:14,2023-03-24 08:50:45,2627,60.0,4684,327,1672,618,8429,22411,2023-03-01 14:55:05,react-native-drawer-layout@3.2.0,100.0,Routing and navigation for your React Native apps.,206267.0,206267.0,252,https://www.npmjs.com/package/@react-navigation/native,3097976.0,3097976.0,41,True,1,,
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2023-05-11 17:41:08,2023-05-10 10:09:02,18079,684.0,3907,268,10804,259,10887,20365,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",667217.0,667217.0,1099,,,,40,True,1,1.0,
4,Gifted Chat,FaridSafi/react-native-gifted-chat,components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2023-05-08 02:34:14,2023-05-05 08:29:45,1366,36.0,3219,194,848,98,1440,12414,2023-05-05 08:31:30,2.1.0,64.0,The most complete chat UI for React Native.,22725.0,22725.0,211,https://www.npmjs.com/package/react-native-gifted-chat,139349.0,139349.0,40,True,2,,12.0
5,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2023-05-11 14:13:57,2023-04-23 20:27:57,2389,4.0,4409,377,1609,62,1980,23616,2022-12-23 20:15:46,3.4.3,84.0,Cross-Platform React Native UI Toolkit.,8403.0,8403.0,394,https://www.npmjs.com/package/react-native-elements,396353.0,396353.0,38,True,1,,
6,react-native-vector-icons,oblador/react-native-vector-icons,components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2023-04-17 22:46:26,2022-12-19 12:47:02,584,,2024,212,344,375,778,16621,2022-06-24 20:26:52,9.2.0-1,64.0,Customizable Icons for React Native with support for image source and full styling.,443527.0,443527.0,125,https://www.npmjs.com/package/react-native-vector-icons,1503430.0,1503430.0,38,True,2,,
7,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2023-05-04 15:27:58,2023-05-04 09:04:05,713,6.0,1683,237,296,24,688,15837,2023-02-04 08:31:50,5.1.5,20.0,Lottie wrapper for React Native.,100613.0,100613.0,131,https://www.npmjs.com/package/lottie-react-native,1186658.0,1186658.0,38,True,1,-1.0,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2023-05-11 15:44:59,2023-05-11 09:58:05,3817,72.0,639,331,1908,50,514,5376,2023-04-13 09:02:38,7.3.0,100.0,UI Components Library for React Native.,2921.0,2921.0,135,https://www.npmjs.com/package/react-native-ui-lib,86120.0,86120.0,35,True,2,,
9,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,MIT,2016-04-15 11:37:23,2023-05-02 10:24:31,2023-03-06 08:05:15,6322,21.0,2250,270,2250,231,3155,19315,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",,,299,https://www.npmjs.com/package/native-base,348387.0,348387.0,33,True,2,,
10,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,MIT,2016-12-20 08:22:38,2023-05-10 16:25:00,2023-05-04 21:28:52,837,16.0,893,125,564,141,977,9626,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,5816.0,5816.0,62,https://www.npmjs.com/package/react-native-ui-kitten,1223.0,1223.0,32,True,3,,
11,react-native-svg-charts,JesperLekland/react-native-svg-charts,components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,MIT,2017-10-30 09:28:29,2023-01-17 09:26:21,2020-04-14 18:49:24,386,,342,15,150,174,275,2233,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,6201.0,6201.0,39,https://www.npmjs.com/package/react-native-svg-charts,133146.0,133146.0,29,True,3,,
12,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,MIT,2016-02-10 16:06:07,2023-05-10 20:25:41,2023-05-04 00:01:25,2419,22.0,1227,238,1015,30,1221,15269,2023-05-04 00:01:30,8.8.0,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",,,192,,,,28,True,3,,
13,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,,2016-08-08 15:26:08,2023-03-31 08:34:38,2023-03-31 08:34:37,1231,2.0,435,94,464,101,215,4807,2023-01-10 14:17:30,6.1.2,84.0,Customizable set of components for React Native applications.,1396.0,1396.0,55,https://www.npmjs.com/package/@shoutem/ui,2682.0,2682.0,27,True,3,,34.0
14,react-native-chart-kit,indiespirit/react-native-chart-kit,components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,MIT,2017-12-20 02:30:08,2023-03-27 07:23:53,2022-02-08 04:03:57,336,,579,14,173,363,148,2482,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",12032.0,12032.0,102,https://www.npmjs.com/package/react-native-chart-kit,113820.0,113820.0,27,True,3,,
15,react-native-charts-wrapper,wuxudong/react-native-charts-wrapper,components,react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,,2017-03-03 07:58:57,2023-04-25 01:57:03,2023-04-25 01:56:55,332,2.0,590,50,112,168,669,2301,2022-10-15 10:15:27,0.5.11,34.0,a react native charts wrapper (support android & iOS).,1158.0,1158.0,55,https://www.npmjs.com/package/react-native-charts-wrapper,68873.0,68873.0,27,True,3,,
