,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2023-12-07 18:01:49,2023-12-07 17:51:48,2697.0,42.0,4767.0,322.0,1753.0,676.0,8593.0,22906.0,2023-11-03 14:58:32,@react-navigation/native-stack@6.9.17,100.0,Routing and navigation for your React Native apps.,825821.0,825821.0,266.0,https://www.npmjs.com/package/@react-navigation/native,3287891.0,3287891.0,42,True,1,,,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2023-12-07 10:16:08,2023-11-28 11:39:08,2039.0,47.0,1958.0,117.0,1833.0,102.0,2190.0,11580.0,2023-11-27 10:06:36,5.11.3,100.0,Material Design for React Native (Android & iOS).,167958.0,167958.0,316.0,https://www.npmjs.com/package/react-native-paper,667301.0,667301.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2023-12-07 17:49:41,2023-12-07 16:44:09,20086.0,922.0,4278.0,277.0,12753.0,369.0,12090.0,24927.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",807610.0,807610.0,1233.0,,,,41,True,1,MIT,,
3,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2023-12-07 13:26:53,2023-12-07 13:26:51,1487.0,9.0,4585.0,219.0,1168.0,69.0,3478.0,14495.0,2023-12-07 13:27:00,1.8.2,100.0,React Native Mapview component for iOS + Android.,165649.0,165649.0,482.0,https://www.npmjs.com/package/react-native-maps,909405.0,909405.0,41,True,1,MIT,,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2023-12-07 14:29:03,2023-11-09 12:54:16,615.0,11.0,2058.0,207.0,376.0,145.0,1054.0,17018.0,2023-11-09 12:54:47,10.0.2,67.0,Customizable Icons for React Native with support for image source and full styling.,539185.0,539185.0,143.0,https://www.npmjs.com/package/react-native-vector-icons,1735291.0,1735291.0,40,True,1,MIT,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2023-11-27 06:19:24,2023-11-14 21:02:10,769.0,13.0,1702.0,234.0,346.0,30.0,745.0,16292.0,2023-11-14 21:03:38,6.4.1,33.0,Lottie wrapper for React Native.,108046.0,108046.0,139.0,https://www.npmjs.com/package/lottie-react-native,1282015.0,1282015.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2023-12-06 10:24:52,2023-10-11 12:47:32,1397.0,3.0,3267.0,193.0,869.0,141.0,1452.0,12823.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,25600.0,25600.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,145045.0,145045.0,38,True,1,MIT,12.0,-1.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2023-12-02 18:25:24,2023-11-28 19:46:03,8443.0,10.0,500.0,124.0,789.0,279.0,1502.0,10616.0,2023-11-29 14:42:36,36.7.0,97.0,A collection of composable React components for building interactive data visualizations.,22270.0,22270.0,227.0,https://www.npmjs.com/package/victory-native,319379.0,319379.0,37,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2023-12-07 11:53:20,2023-12-07 09:44:23,4004.0,71.0,656.0,332.0,2086.0,53.0,563.0,5850.0,2023-12-06 14:38:05,7.12.0,100.0,UI Components Library for React Native.,3543.0,3543.0,145.0,https://www.npmjs.com/package/react-native-ui-lib,176070.0,176070.0,35,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2023-11-30 12:07:51,2023-09-09 10:05:52,2405.0,5.0,4516.0,370.0,1634.0,86.0,1993.0,24205.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,4.0,4.0,403.0,https://www.npmjs.com/package/react-native-elements,481597.0,481597.0,34,True,2,MIT,,
