,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads
0,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2023-08-09 21:47:52,2023-08-09 21:46:26,1977,73.0,1913,117,1777,76,2087,11095,2023-08-09 18:47:10,5.10.1,100.0,Material Design for React Native (Android & iOS).,133496.0,133496.0,304,https://www.npmjs.com/package/react-native-paper,640328.0,640328.0,42,True,1,,
1,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2023-08-10 17:21:46,2023-08-10 16:44:44,18950,870.0,4076,280,11637,325,11412,22674,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",728625.0,728625.0,1160,,,,41,True,1,1.0,
2,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2023-08-10 10:11:00,2023-04-23 13:51:31,1474,,4570,219,1152,58,3430,14249,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,158387.0,158387.0,478,https://www.npmjs.com/package/react-native-maps,874486.0,874486.0,41,True,1,,
3,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2023-08-08 01:11:35,2023-07-20 08:34:21,604,20.0,2046,211,358,153,1028,16835,2023-07-17 13:34:46,10.0.0,65.0,Customizable Icons for React Native with support for image source and full styling.,487782.0,487782.0,135,https://www.npmjs.com/package/react-native-vector-icons,1717130.0,1717130.0,40,True,1,,
4,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2023-08-07 21:01:49,2023-08-04 12:02:57,1391,21.0,3248,193,863,117,1447,12623,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,24085.0,24085.0,217,https://www.npmjs.com/package/react-native-gifted-chat,141633.0,141633.0,40,True,1,,12.0
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2023-08-08 17:52:09,2023-08-08 17:51:55,748,35.0,1689,236,331,27,714,16027,2023-08-08 17:54:22,6.1.2,28.0,Lottie wrapper for React Native.,103866.0,103866.0,136,https://www.npmjs.com/package/lottie-react-native,1216742.0,1216742.0,39,True,1,,
6,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,,2015-07-02 22:36:50,2023-07-06 17:58:43,2023-06-13 00:08:24,8433,4.0,487,130,776,265,1491,10451,2022-08-04 17:11:19,36.6.0,95.0,A collection of composable React components for building interactive data visualizations.,20675.0,20675.0,221,https://www.npmjs.com/package/victory-native,289381.0,289381.0,35,True,1,,
7,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2023-08-10 13:40:05,2023-08-10 12:33:31,3921,104.0,649,337,1994,42,538,5581,2023-07-20 08:18:22,7.6.0,100.0,UI Components Library for React Native.,3168.0,3168.0,136,https://www.npmjs.com/package/react-native-ui-lib,157718.0,157718.0,35,True,2,,
8,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2023-08-01 23:08:11,2023-07-28 19:22:57,2400,11.0,4449,375,1620,72,1988,23867,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,2.0,2.0,400,https://www.npmjs.com/package/react-native-elements,507303.0,507303.0,34,True,2,-6.0,
9,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2023-08-07 12:22:58,2023-08-01 09:05:17,2638,11.0,4728,323,1708,650,8495,22647,2023-06-22 13:20:45,react-native-tab-view@3.5.2,100.0,Routing and navigation for your React Native apps.,2.0,2.0,253,https://www.npmjs.com/package/@react-navigation/native,3340209.0,3340209.0,33,True,1,-8.0,
