,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-10-24 12:13:50,2024-10-24 12:13:23,3005.0,79.0,4850.0,318.0,1879.0,733.0,8771.0,23544.0,2024-07-25 16:17:39,@react-navigation/native-stack@6.11.0,100.0,Routing and navigation for your React Native apps.,1041363.0,1041363.0,299.0,https://www.npmjs.com/package/@react-navigation/native,5039180.0,5039180.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-10-15 12:37:11,2024-10-15 12:37:11,1595.0,15.0,4601.0,219.0,1254.0,61.0,3639.0,15117.0,2024-10-14 20:01:34,1.18.2,100.0,React Native Mapview component for iOS + Android.,184793.0,184793.0,505.0,https://www.npmjs.com/package/react-native-maps,1164367.0,1164367.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-10-24 17:50:28,2024-10-24 17:40:19,23847.0,1008.0,5355.0,300.0,16571.0,425.0,14184.0,33738.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",1027622.0,1027622.0,1489.0,,,,41,True,1,MIT,,
3,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-10-18 22:41:32,2024-09-15 18:05:08,632.0,5.0,2074.0,203.0,410.0,133.0,1117.0,17424.0,2024-09-15 18:06:03,10.2.0,70.0,Customizable Icons for React Native with support for image source and full styling.,628360.0,628360.0,150.0,https://www.npmjs.com/package/react-native-vector-icons,2465544.0,2465544.0,41,True,1,MIT,,
4,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-10-01 19:12:38,2024-10-01 19:05:31,1472.0,62.0,3324.0,192.0,887.0,180.0,1477.0,13508.0,2024-10-01 19:12:38,2.6.4,75.0,The most complete chat UI for React Native.,29723.0,29723.0,224.0,https://www.npmjs.com/package/react-native-gifted-chat,184807.0,184807.0,41,True,1,MIT,17.0,
5,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-08-21 04:23:07,2024-07-28 18:33:36,2094.0,14.0,2060.0,122.0,1912.0,245.0,2265.0,12877.0,2024-07-28 18:34:09,5.12.5,100.0,Material Design for React Native (Android & iOS).,215554.0,215554.0,330.0,https://www.npmjs.com/package/react-native-paper,1134808.0,1134808.0,41,True,1,MIT,,
6,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-10-11 14:49:21,2024-09-22 06:47:47,825.0,7.0,1719.0,228.0,420.0,36.0,817.0,16714.0,2024-09-15 20:16:25,7.0.0,41.0,Lottie wrapper for React Native.,119558.0,119558.0,150.0,https://www.npmjs.com/package/lottie-react-native,1630799.0,1630799.0,39,True,1,Apache-2.0,,
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-10-24 17:55:34,2024-10-24 17:37:34,8583.0,23.0,512.0,120.0,933.0,87.0,1783.0,11000.0,2024-10-15 13:30:23,37.2.0,100.0,A collection of composable React components for building interactive data visualizations.,25680.0,25680.0,240.0,https://www.npmjs.com/package/victory-native,497092.0,497092.0,38,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-10-22 12:32:54,2024-10-20 11:24:49,4330.0,90.0,694.0,322.0,2493.0,82.0,586.0,6512.0,2024-09-30 06:37:01,7.32,100.0,UI Components Library for React Native.,4358.0,4358.0,154.0,https://www.npmjs.com/package/react-native-ui-lib,258381.0,258381.0,36,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-05-01 22:24:47,2024-02-04 03:55:07,2427.0,,4570.0,371.0,1646.0,124.0,2003.0,25025.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,513799.0,513799.0,32,True,2,MIT,,
