,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2023-11-09 14:45:37,2023-11-09 14:41:59,2686.0,48.0,4751.0,322.0,1742.0,665.0,8575.0,22837.0,2023-11-03 14:58:32,@react-navigation/native-stack@6.9.17,100.0,Routing and navigation for your React Native apps.,803311.0,803311.0,264.0,https://www.npmjs.com/package/@react-navigation/native,3179562.0,3179562.0,42,True,1,,,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2023-11-09 06:27:46,2023-10-24 08:50:16,2024.0,47.0,1943.0,117.0,1821.0,100.0,2163.0,11463.0,2023-10-24 08:51:10,5.11.1,100.0,Material Design for React Native (Android & iOS).,160112.0,160112.0,311.0,https://www.npmjs.com/package/react-native-paper,609132.0,609132.0,42,True,1,MIT,,
2,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2023-11-06 20:29:12,2023-10-09 22:24:24,1477.0,3.0,4582.0,220.0,1164.0,75.0,3458.0,14453.0,2023-10-09 22:24:34,1.8.0,100.0,React Native Mapview component for iOS + Android.,163613.0,163613.0,480.0,https://www.npmjs.com/package/react-native-maps,892874.0,892874.0,41,True,1,MIT,,
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2023-11-09 17:59:30,2023-11-09 16:11:17,19746.0,786.0,4222.0,283.0,12402.0,354.0,11960.0,24313.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",787792.0,787792.0,1217.0,,,,40,True,1,MIT,,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2023-11-09 12:55:34,2023-11-09 12:54:16,615.0,11.0,2053.0,207.0,372.0,140.0,1054.0,16983.0,2023-11-09 12:54:47,10.0.2,67.0,Customizable Icons for React Native with support for image source and full styling.,526843.0,526843.0,143.0,https://www.npmjs.com/package/react-native-vector-icons,1731815.0,1731815.0,40,True,1,MIT,1.0,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2023-11-07 22:32:42,2023-11-07 22:32:42,767.0,19.0,1706.0,234.0,345.0,27.0,744.0,16248.0,2023-10-29 16:02:53,6.4.0,32.0,Lottie wrapper for React Native.,106928.0,106928.0,139.0,https://www.npmjs.com/package/lottie-react-native,1209090.0,1209090.0,39,True,1,Apache-2.0,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2023-10-15 12:57:45,2023-10-11 12:47:32,1397.0,4.0,3259.0,194.0,866.0,135.0,1452.0,12784.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,25227.0,25227.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,134082.0,134082.0,39,True,1,MIT,,12.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2023-11-08 14:57:18,2023-11-08 14:45:23,8439.0,6.0,496.0,124.0,785.0,281.0,1496.0,10576.0,2023-11-02 15:48:31,36.6.12,96.0,A collection of composable React components for building interactive data visualizations.,21872.0,21872.0,224.0,https://www.npmjs.com/package/victory-native,296518.0,296518.0,36,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2023-11-09 14:57:42,2023-11-08 14:04:48,3969.0,48.0,651.0,332.0,2050.0,50.0,561.0,5788.0,2023-11-09 07:12:13,7.10.0,100.0,UI Components Library for React Native.,3461.0,3461.0,142.0,https://www.npmjs.com/package/react-native-ui-lib,194093.0,194093.0,35,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2023-11-09 08:11:08,2023-09-09 10:05:52,2405.0,5.0,4499.0,372.0,1630.0,82.0,1993.0,24128.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,4.0,4.0,404.0,https://www.npmjs.com/package/react-native-elements,503348.0,503348.0,34,True,2,MIT,,
